sample	min_depth	delta	max_delta	nodes	rel	moves_changed
0	64	25	400	54336369	1.0000	0
0	3	12	400	52795880	0.9716	11
0	3	25	400	49967676	0.9196	14
0	3	50	400	50933950	0.9374	11
0	3	100	400	52381322	0.9640	12
0	4	12	400	49309715	0.9075	14
0	4	25	400	50330867	0.9263	16
0	4	50	400	50065426	0.9214	12
0	4	100	400	53364182	0.9821	13
0	5	12	400	50144949	0.9229	13
0	5	25	400	49640101	0.9136	16
0	5	50	400	47427023	0.8728	12
0	5	100	400	54298997	0.9993	16
0	6	12	400	49713838	0.9149	6
0	6	25	400	49681382	0.9143	16
0	6	50	400	48221032	0.8875	11
0	6	100	400	55324969	1.0182	14
0	4	25	100	50151492	0.9230	16
0	4	25	200	50319743	0.9261	16
0	4	25	800	50032684	0.9208	16
0	4	25	2000	50097867	0.9220	16
37	64	25	400	51961641	1.0000	0
37	3	12	400	54544756	1.0497	23
37	3	25	400	51309437	0.9874	20
37	3	50	400	50514902	0.9722	14
37	3	100	400	50495519	0.9718	14
37	4	12	400	52291386	1.0063	23
37	4	25	400	51054682	0.9825	21
37	4	50	400	51499619	0.9911	14
37	4	100	400	50412118	0.9702	14
37	5	12	400	54278070	1.0446	15
37	5	25	400	51485075	0.9908	16
37	5	50	400	51250696	0.9863	17
37	5	100	400	50850111	0.9786	13
37	6	12	400	55265650	1.0636	16
37	6	25	400	51356735	0.9884	16
37	6	50	400	52011901	1.0010	16
37	6	100	400	51335611	0.9880	14
37	4	25	100	51336311	0.9880	21
37	4	25	200	51322449	0.9877	21
37	4	25	800	51054682	0.9825	21
37	4	25	2000	51054682	0.9825	21
71	64	25	400	50991971	1.0000	0
71	3	12	400	53889129	1.0568	16
71	3	25	400	50447825	0.9893	21
71	3	50	400	48742631	0.9559	15
71	3	100	400	51178313	1.0037	18
71	4	12	400	54361910	1.0661	16
71	4	25	400	50501326	0.9904	21
71	4	50	400	47145006	0.9246	15
71	4	100	400	52010834	1.0200	18
71	5	12	400	53759110	1.0543	15
71	5	25	400	51611609	1.0122	21
71	5	50	400	46779155	0.9174	15
71	5	100	400	52394397	1.0275	17
71	6	12	400	54813831	1.0750	23
71	6	25	400	50281649	0.9861	20
71	6	50	400	48239977	0.9460	14
71	6	100	400	51648717	1.0129	14
71	4	25	100	51212139	1.0043	21
71	4	25	200	50497736	0.9903	21
71	4	25	800	50477913	0.9899	21
71	4	25	2000	50477913	0.9899	21
