# S024 verdict-1 H0 census. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S024_census_run.py run <engine>
# One row per adocs/data/S024_census_positions.txt entry, depth 10, Hash 16 MB, ucinewgame between positions.
# writes = calls of history_on_quiet_cutoff(); writes_with_prev = those with prev_move != 0.
# reads = quiet-move score_move() evaluations; reads_with_prev = those where the continuation term is consulted; reads_nonzero = those where it is non-zero.
idx	game_index	ply	fen	nodes	elapsed_s	writes_total	writes_with_prev	reads_total	reads_with_prev	reads_nonzero
1	72	64	3r2k1/5pb1/7p/p4B1P/2r3P1/8/1P1n1B2/1R2R1K1 w - - 3 36	190432	0.024242401123046875	1698	1626	133989	126442	24066
2	496	143	8/8/6k1/4R3/4P1P1/5K2/8/6r1 b - - 32 75	87792	0.01118612289428711	6474	6368	130351	127831	40985
3	271	53	8/5pkp/B1p1p1p1/B1p5/P3P3/6PP/nb3P2/6K1 b - - 0 30	275886	0.03225111961364746	7835	7603	265337	258404	96890
4	715	47	2r4r/1kpnb1p1/p3p2p/Pp1bPp2/3P1P2/3NB2P/1P2BKP1/R4R2 b - - 6 27	273011	0.03327488899230957	5003	4880	276577	264564	70067
5	547	28	r3r1k1/1bq2ppp/1npb1n2/1p2p3/1P1PP3/1QNB1N1P/3B1PP1/R4RK1 w - - 0 18	534693	0.07185626029968262	503	496	251724	238685	13248
6	278	76	2b5/2r1k3/p3p1pp/P7/1p1R3P/1P3B2/5KP1/8 w - - 0 42	149423	0.018014907836914062	2815	2766	125417	119989	32345
7	35	64	6k1/b7/2r1p3/1p3p2/6p1/P7/2P1KPP1/3R4 w - - 0 36	20243	0.003032684326171875	397	381	15796	13205	1590
8	848	48	6k1/1p1b1pb1/1r1p2p1/3Pp2p/1B1p4/3P1BP1/2P2PKP/1R6 w - - 2 28	181243	0.021984100341796875	2338	2228	128842	122652	31964
9	477	42	r3r1k1/1q1nbpp1/2p1p1p1/p1P3P1/Pp1PQP2/1P4RN/1B5P/4R1K1 w - - 3 25	110962	0.013785839080810547	1482	1451	96440	89564	8652
10	627	53	1rr3k1/R4p2/R1bbp1pp/3p4/1p1P4/3BP1P1/2P2PP1/2N3K1 b - - 5 30	150868	0.018610000610351562	1463	1364	111709	105298	16610
