k	pairs	c_scale	r_k	y	wins	losses	draws	ptnml	MaxQsearchDepth	RfpMargin	RfpMaxDepth	RfpMinPly	NullMoveBase	NullMoveDivisor	LmrBase	LmrDivisor	LazyEvalMargin	AspirationMinDepth	AspirationDelta	AspirationMaxDelta
0	24	2.054887	0.003993184	-21	11	32	5	10/5/7/0/2	9	79	5	3	2	5	71	231	146	5	47	394
1	48	1.915949	0.0045715199	-33	4	37	7	14/6/3/1/0	10	86	6	3	2	4	64	240	153	6	43	404
2	72	1.839072	0.0049383343	-6	17	23	8	5/5/8/3/3	10	87	7	3	2	4	65	238	151	6	43	402
3	96	1.786405	0.0052093496	-22	10	32	6	10/3/10/1/0	10	82	8	3	2	4	70	245	156	6	47	395
4	120	1.746594	0.0054242592	-8	13	21	14	5/4/9/6/0	11	81	7	3	2	4	68	242	158	6	48	393
5	144	1.714726	0.0056018519	-19	8	27	13	7/6/10/1/0	10	85	8	3	2	3	64	236	163	5	51	387
6	168	1.688235	0.0057526333	6	19	13	16	0/6/10/4/4	10	84	8	3	2	3	65	234	161	6	52	389
7	192	1.665620	0.0058831224	6	23	17	8	3/4/8/2/7	10	85	8	3	2	3	67	236	163	5	51	387
8	216	1.645923	0.0059976662	-22	5	27	16	7/10/5/2/0	9	80	9	3	2	4	72	229	168	6	54	394
9	240	1.628501	0.0060993206	21	30	9	9	0/2/8/5/9	10	75	8	3	2	5	77	236	163	5	51	387
10	264	1.612899	0.0061903227	-8	14	22	12	4/7/8/3/2	10	73	9	3	2	5	75	239	165	5	52	385
11	288	1.598787	0.0062723636	-6	13	19	16	5/6/5/6/2	10	71	9	3	2	5	77	237	166	5	53	387
12	312	1.585914	0.0063467551	24	30	6	12	0/3/4/7/10	11	77	8	3	2	4	82	244	160	5	49	395
13	336	1.574088	0.0064145375	-27	8	35	5	13/4/5/1/1	10	71	9	3	2	3	76	236	167	4	45	403
14	360	1.563157	0.0064765504	2	19	17	12	1/5/13/1/4	10	71	9	3	2	3	76	235	167	4	45	404
15	384	1.553001	0.0065334824	9	26	17	5	3/1/10/4/6	10	73	10	3	2	3	74	238	165	4	44	407
16	408	1.543521	0.0065859055	-7	16	23	9	5/4/10/3/2	11	72	10	3	2	3	76	240	167	4	45	409
17	432	1.534636	0.0066343006	11	22	11	15	1/4/8/5/6	11	69	9	3	3	4	78	237	170	4	47	406
18	456	1.526279	0.0066790762	-13	14	27	7	9/3/6/4/2	11	72	9	3	3	3	75	232	166	4	49	410
19	480	1.518392	0.0067205825	-13	12	25	11	7/7/5/2/3	11	69	9	2	3	3	78	228	170	3	51	406
20	504	1.510928	0.0067591218	12	23	11	14	2/2/8/6/6	11	66	10	3	3	3	76	224	173	3	49	402
21	528	1.503845	0.0067949574	-18	10	28	10	8/7/5/3/1	10	70	11	2	3	4	80	218	168	3	46	407
22	552	1.497109	0.00682832	11	23	12	13	1/3/10/4/6	9	68	11	2	3	4	83	222	171	2	48	404
23	576	1.490687	0.0068594127	10	21	11	16	0/3/10/9/2	10	70	11	2	3	5	85	225	168	2	50	407
24	600	1.484554	0.0068884155	3	18	15	15	2/5/8/6/3	10	69	11	2	3	5	86	226	169	2	49	406
25	624	1.478685	0.0069154889	-1	16	17	15	0/8/10/5/1	10	69	11	2	3	5	86	226	169	2	49	406
26	648	1.473059	0.0069407761	-9	12	21	15	4/6/10/3/1	9	67	11	2	3	5	84	223	167	2	48	403
27	672	1.467658	0.0069644059	6	21	15	12	2/2/11/6/3	10	69	11	2	3	5	82	225	165	3	47	405
28	696	1.462466	0.0069864944	-6	15	21	12	3/7/9/3/2	9	70	11	2	3	5	84	223	164	2	48	403
29	720	1.457467	0.0070071466	11	22	11	15	0/3/11/6/4	10	73	10	2	3	6	87	227	161	3	46	399
30	744	1.452648	0.0070264579	-8	14	22	12	6/6/5/4/3	10	71	11	2	3	6	85	224	159	3	45	397
31	768	1.447997	0.007044515	-5	16	21	11	6/3/8/4/3	10	72	11	2	3	6	86	222	158	3	46	398
32	792	1.443504	0.0070613972	3	21	18	9	2/3/12/4/3	10	73	11	2	3	6	87	221	159	3	46	399
33	816	1.439158	0.0070771771	-7	13	20	15	3/9/7/2/3	10	71	10	2	3	6	85	219	160	3	47	397
34	840	1.434951	0.0070919213	11	22	11	15	0/5/8/6/5	11	68	11	2	4	6	82	223	163	3	45	401
35	864	1.430874	0.0071056911	-4	15	19	14	2/5/13/3/1	10	69	11	2	3	6	81	224	162	3	45	402
36	888	1.426920	0.0071185428	-2	18	20	10	3/3/13/3/2	11	69	11	2	3	6	81	223	162	3	45	403
37	912	1.423081	0.0071305289	-2	14	16	18	4/5/7/5/3	10	69	11	2	3	6	81	224	161	3	45	403
38	936	1.419353	0.0071416974	16	24	8	16	1/1/8/9/5	11	65	12	2	3	7	85	219	157	3	43	408
39	960	1.415728	0.0071520934	3	18	15	15	2/4/10/5/3	11	66	12	2	3	7	86	220	158	3	43	409
40	984	1.412202	0.0071617583	3	16	13	19	2/4/9/7/2	11	67	12	2	3	7	87	221	159	3	43	410
41	1008	1.408769	0.0071707311	3	20	17	11	1/4/12/5/2	11	66	12	2	3	7	86	222	158	3	42	411
42	1032	1.405425	0.0071790476	-3	14	17	17	2/8/8/3/3	11	65	12	2	3	7	87	221	159	3	42	410
43	1056	1.402165	0.0071867417	-2	17	19	12	3/6/8/4/3	11	65	12	2	3	7	87	220	159	3	41	410
44	1080	1.398986	0.0071938449	6	20	14	14	3/1/10/7/3	11	66	12	2	3	7	88	222	161	3	41	412
45	1104	1.395884	0.0072003866	-11	14	25	9	7/4/9/1/3	11	64	13	2	3	7	91	218	163	3	42	415
46	1128	1.392855	0.0072063945	4	17	13	18	0/7/8/7/2	11	63	12	2	3	7	92	220	164	3	43	414
47	1152	1.389897	0.0072118946	-4	16	20	12	3/6/9/4/2	11	64	13	2	3	6	91	221	163	3	42	415
