# S095 candidates for the mate row tests/test_search.cpp "pruning does not
# hide a forced mate" gains: the labelled mates whose oracle line carries a
# quiet, non-checking, non-promotion move of the mating side -- the only class
# late move reduction can touch. 297 labelled mates from this project's own
# positions in, 141 out. Regenerate: adocs/data/S095_mine_mate_row.py
# candidates, then S230_mine_r01_row.py depths on the shipped tree and again
# with the site's guard opened, then S095_mine_mate_row.py pick.
# distance, pv and nodes are stockfish through python-chess, one fresh
# process per position at depth 20; nothing here is copied from it (DEC-016).
fen	mate_in	nodes	pv_uci	pv_san	quiets_on_line
2b3k1/1p5p/6pb/3Pp3/P3P2P/6N1/1P3q2/7K b - - 0 41	2	18394	c8g4 b2b3 g4f3	Bg4 b3 Bf3#	Bg4
3r1r1k/1p4pn/pN1p3p/P2Pp2q/1pB1Pb2/3Q1P2/1PP2P2/RN1R1bK1 b - - 7 28	2	139656	h5h3 d1f1 h3h2	Qh3 Rxf1 Qh2#	Qh3
6qk/7p/2p2p1B/4R2P/4P1Q1/1p4P1/5P2/6K1 w - - 1 43	2	1918	e5e8 g8e8 g4g7	Re8 Qxe8 Qg7#	Re8
7k/pp6/4P1p1/7p/7P/6bK/P1B3P1/4q3 b - - 0 39	2	3589	g3d6 c2g6 e1h1	Bd6 Bxg6 Qh1#	Bd6
8/R2B4/7p/p1r3kP/P2r1p2/6pK/6P1/8 b - - 1 54	2	1191	d4d1 d7e6 d1h1	Rd1 Be6 Rh1#	Rd1
1r6/5pk1/p2pp1p1/Q2B2n1/8/2P1P1q1/1PR3Pr/R5K1 b - - 4 31	3	4987	g3e3 c2f2 b8h8 d5a8 h2h1	Qxe3+ Rf2 Rbh8 Ba8 Rh1#	Rbh8
4r2k/1p4rp/p1p3q1/P3b3/4p3/1QPnB2P/1P2n1B1/R5RK b - - 1 31	3	11741	g6g3 b3g8 g7g8 g1b1 g3g2	Qg3 Qg8+ Rgxg8 Rgb1 Qxg2#	Qg3
5K2/5P1B/3k4/8/1p6/5P2/8/q7 b - - 1 59	3	89672	a1h8 h7g8 d6d7 f3f4 h8h6	Qh8+ Bg8 Kd7 f4 Qh6#	Kd7
5r2/1p4Nk/pqp2P2/3p4/1Pn3Q1/2P1p3/P3P3/2K2R2 w - - 3 40	3	5256	g7e6 b6c7 f1h1 c7h2 h1h2	Ne6 Qc7 Rh1+ Qh2 Rxh2#	Ne6
8/6kp/p3P1p1/3pP3/7K/3n1qN1/7P/8 b - - 1 43	4	9395	d3f2 g3f5 g6f5 h2h3 f3h3 h4g5 h3g4	Nf2 Nf5+ gxf5 h3 Qxh3+ Kg5 Qg4#	Nf2
