The sweep grid. Stride 2 is one side's own turns, which is what a game
gives an engine's table; stride 1 is a table no game produces (DEC-151),
and the existing rows use it, so both are swept.
case                      stride     nodes  mates  short
A_mate8_shallow                1    100000      0      0
A_mate8_shallow                1    300000      7      0
A_mate8_shallow                1    500000      9      0
A_mate8_shallow                1   1000000     17      0
A_mate8_shallow                1   1200000      9      0
A_mate8_shallow                1   1500000     10      0
A_mate8_shallow                1   2000000     10      0
A_mate8_shallow                1   3000000     11      0
A_mate8_shallow                1   4000000     13      0
A_mate8_shallow                2    100000      0      0
A_mate8_shallow                2    300000      2      0
A_mate8_shallow                2    500000      2      0
A_mate8_shallow                2   1000000      4      0
A_mate8_shallow                2   1200000      4      0
A_mate8_shallow                2   1500000      4      0
A_mate8_shallow                2   2000000      4      0
A_mate8_shallow                2   3000000      4      0
A_mate8_shallow                2   4000000      5      0
B_mate6_shallow                1    100000     14      0
B_mate6_shallow                1    300000     22      1
B_mate6_shallow                1    500000     35      0
B_mate6_shallow                1   1000000     31      0
B_mate6_shallow                1   1200000     52     15
B_mate6_shallow                1   1500000     47      0
B_mate6_shallow                1   2000000     71      0
B_mate6_shallow                1   3000000     68      2
B_mate6_shallow                1   4000000     65      6
B_mate6_shallow                2    100000      1      0
B_mate6_shallow                2    300000     16      3
B_mate6_shallow                2    500000     16      0
B_mate6_shallow                2   1000000     16      3
B_mate6_shallow                2   1200000     17      0
B_mate6_shallow                2   1500000     15      8
B_mate6_shallow                2   2000000     17      0
B_mate6_shallow                2   3000000     34     10
B_mate6_shallow                2   4000000     29      0
C_mate7_depth11                1    100000      0      0
C_mate7_depth11                1    300000      0      0
C_mate7_depth11                1    500000      0      0
C_mate7_depth11                1   1000000      0      0
C_mate7_depth11                1   1200000     12      0
C_mate7_depth11                1   1500000      8      0
C_mate7_depth11                1   2000000      0      0
C_mate7_depth11                1   3000000      0      0
C_mate7_depth11                1   4000000      0      0
C_mate7_depth11                2    100000      0      0
C_mate7_depth11                2    300000      0      0
C_mate7_depth11                2    500000      2      0
C_mate7_depth11                2   1000000      2      0
C_mate7_depth11                2   1200000      0      0
C_mate7_depth11                2   1500000      0      0
C_mate7_depth11                2   2000000      0      0
C_mate7_depth11                2   3000000      0      0
C_mate7_depth11                2   4000000      0      0
D_mate_minus6_depth10          1    100000      0      0
D_mate_minus6_depth10          1    300000      0      0
D_mate_minus6_depth10          1    500000      0      0
D_mate_minus6_depth10          1   1000000      0      0
D_mate_minus6_depth10          1   1200000      0      0
D_mate_minus6_depth10          1   1500000      0      0
D_mate_minus6_depth10          1   2000000      1      0
D_mate_minus6_depth10          1   3000000      5      0
D_mate_minus6_depth10          1   4000000      0      0
D_mate_minus6_depth10          2    100000      0      0
D_mate_minus6_depth10          2    300000      0      0
D_mate_minus6_depth10          2    500000      0      0
D_mate_minus6_depth10          2   1000000      0      0
D_mate_minus6_depth10          2   1200000      0      0
D_mate_minus6_depth10          2   1500000      0      0
D_mate_minus6_depth10          2   2000000      0      0
D_mate_minus6_depth10          2   3000000      0      0
D_mate_minus6_depth10          2   4000000      0      0
E_mate_minus9                  1    100000      8      0
E_mate_minus9                  1    300000      7      0
E_mate_minus9                  1    500000     11      9
E_mate_minus9                  1   1000000     24      0
E_mate_minus9                  1   1200000      9      4
E_mate_minus9                  1   1500000     22     11
E_mate_minus9                  1   2000000     12      0
E_mate_minus9                  1   3000000     26      4
E_mate_minus9                  1   4000000     29      0
E_mate_minus9                  2    100000      0      0
E_mate_minus9                  2    300000      0      0
E_mate_minus9                  2    500000      0      0
E_mate_minus9                  2   1000000      1      0
E_mate_minus9                  2   1200000      9      0
E_mate_minus9                  2   1500000      5      0
E_mate_minus9                  2   2000000      6      4
E_mate_minus9                  2   3000000     10      0
E_mate_minus9                  2   4000000      5      3
F_mate6_inherited_no_line       1    100000     18      0
F_mate6_inherited_no_line       1    300000     30      0
F_mate6_inherited_no_line       1    500000     25      0
F_mate6_inherited_no_line       1   1000000     41      0
F_mate6_inherited_no_line       1   1200000     43      0
F_mate6_inherited_no_line       1   1500000     39      0
F_mate6_inherited_no_line       1   2000000     36      0
F_mate6_inherited_no_line       1   3000000     36      0
F_mate6_inherited_no_line       1   4000000     49      0
F_mate6_inherited_no_line       2    100000      4      0
F_mate6_inherited_no_line       2    300000     13      0
F_mate6_inherited_no_line       2    500000     17      0
F_mate6_inherited_no_line       2   1000000     14      0
F_mate6_inherited_no_line       2   1200000     16      0
F_mate6_inherited_no_line       2   1500000     15      0
F_mate6_inherited_no_line       2   2000000     18      0
F_mate6_inherited_no_line       2   3000000     14      0
F_mate6_inherited_no_line       2   4000000     19      0
