# S097 verdict 2 candidates for the mate row that separates
# E21_multicut_mate_band_gate_dropped.
# Regenerate: adocs/data/S097_mine_mate_row.py candidates /
# fires / sweep / pick.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	depths_found
1Rb2bkr/8/4NpPp/3p4/p7/6B1/6PK/8 w - - 4 44	2	1138	b8c8 a4a3 c8f8	Rxc8 a3 Rxf8#	
1k1r3r/RPn1ppb1/Qn4pp/1Np1P3/2p5/5B2/1P3PPP/2B1K2R w K - 3 21	2	1398	a7a8 b6a8 a6a7	Ra8+ Nbxa8 Qa7#	
1k2r3/pp4Q1/2b1P3/2p2P2/6P1/2N5/P6K/4qR2 b - - 0 34	2	1284	e1h4 h2g1 h4g3	Qh4+ Kg1 Qg3#	
1n4r1/q4pBk/r2R4/p3n3/1p1P2Q1/P7/P5PP/2R3K1 w - - 4 30	2	1750	g4h5 h7g7 h5h6	Qh5+ Kxg7 Qh6#	
1qr5/7k/b2p2pB/3p2P1/2p1P3/2P5/5QPP/1r3RK1 w - - 0 38	2	1307	f2f7 h7h8 f7g7	Qf7+ Kh8 Qg7#	
2Q5/R3Np1k/5P2/6p1/N7/4n1r1/P3b3/7K b - - 0 34	2	815	e2f3 h1h2 e3f1	Bf3+ Kh2 Nf1#	
2R5/p4p1p/5pk1/5N2/4n3/4P1P1/r6P/5RK1 w - - 3 39	2	1031	c8g8 g6h5 g3g4	Rg8+ Kh5 g4#	
2b3k1/1p5p/6pb/3Pp3/P3P2P/6N1/1P3q2/7K b - - 0 41	2	18394	c8g4 b2b3 g4f3	Bg4 b3 Bf3#	
2r2q1r/pp1k1B2/3p1p1p/5P2/2Q3b1/P5Pp/1P5P/2R1R1K1 w - - 3 27	2	1736	c4e6 d7d8 c1c8	Qe6+ Kd8 Rxc8#	
2rqrk2/3nb3/p4nQ1/2p3N1/Ppb1RB2/8/1P1N1PPP/R5K1 w - - 9 27	2	2274	e4c4 e7d6 g6f7	Rxc4 Bd6 Qf7#	
3r1k2/4N1p1/6Q1/p1b5/5Pb1/6P1/3rR1KP/8 b - - 2 38	2	1464	d2e2 g2f1 d8d1	Rxe2+ Kf1 Rd1#	
3r1r1k/1p4pn/pN1p3p/P2Pp2q/1pB1Pb2/3Q1P2/1PP2P2/RN1R1bK1 b - - 7 28	2	139656	h5h3 d1f1 h3h2	Qh3 Rxf1 Qh2#	
4k3/R5P1/p4p2/1p3PK1/2n5/8/6B1/2r5 w - - 0 43	2	882	g5f6 b5b4 g7g8q	Kxf6 b4 g8=Q#	
4r1k1/1p2R3/pqpp3p/2n2Q2/8/P1N4P/1P3PP1/6K1 w - - 1 25	2	1800	f5g6 g8f8 e7e8	Qg6+ Kf8 Rxe8#	
4r1k1/p4p1p/2p2p2/2N5/1PB5/5q1P/1PPr1P1K/RQ2R3 b - - 0 25	2	1676	f3f2 h2h1 f2g2	Qxf2+ Kh1 Qg2#	
5rk1/pp3p1p/2p2PpQ/8/n7/P6P/1PP3Pq/5B1K w - - 1 27	2	486	h1h2 a4b2 h6g7	Kxh2 Nxb2 Qg7#	
6k1/1R3p2/7p/2b1B1nP/Q1P1P2K/P4P2/1P6/6q1 b - - 3 39	2	1189	c5f2 e5g3 g1g3	Bf2+ Bg3 Qxg3#	
6k1/4n1p1/p6p/4P3/PpP1P1P1/1P1q4/3r3P/2R4K b - - 0 43	2	1317	d3e4 h1g1 e4g2	Qxe4+ Kg1 Qg2#	
6qk/7p/2p2p1B/4R2P/4P1Q1/1p4P1/5P2/6K1 w - - 1 43	2	1918	e5e8 g8e8 g4g7	Re8 Qxe8 Qg7#	
7k/2p3pp/8/p3P3/4PP2/P6b/4qQ1P/2B3K1 b - - 0 40	2	1128	e2d1 f2e1 d1e1	Qd1+ Qe1 Qxe1#	
7k/pp6/4P1p1/7p/7P/6bK/P1B3P1/4q3 b - - 0 39	2	3589	g3d6 c2g6 e1h1	Bd6 Bxg6 Qh1#	
7r/2N2Qpp/p4p1k/8/1b1R4/5PB1/5P1P/6K1 w - - 0 31	2	1880	d4h4 h6g5 h4h5	Rh4+ Kg5 Rh5#	
7r/p4kp1/1p1Ppn2/4PppB/8/2P1q3/PP3RPr/1R4K1 b - - 1 23	2	687	h8h5 a2a3 h2h1	R8xh5 a3 Rh1#	
8/1kp5/1p2P3/3p1p2/3P3P/2P5/r6P/5qQK b - - 1 52	2	1317	f1f3 g1g2 f3g2	Qf3+ Qg2 Qxg2#	
8/1p1r2k1/2p4p/3p3r/1Q1P1Rp1/P3P3/1P2BK2/2R4q b - - 4 39	2	1046	h5h2 f2g3 h1g2	Rh2+ Kg3 Qg2#	
8/2R5/p4pP1/1b1p4/1P4P1/6k1/1r6/6K1 b - - 4 52	2	893	b2b1 c7c1 b1c1	Rb1+ Rc1 Rxc1#	
8/3Q2pr/p7/8/2Nb3q/7R/P6K/4k3 b - - 1 43	2	1146	h4f2 h2h1 f2g1	Qf2+ Kh1 Qg1#	
8/8/5kp1/p1pPP3/2P5/P3b1Pp/7P/3b3K b - - 0 39	2	339	f6g5 e5e6 d1f3	Kg5 e6 Bf3#	
8/R2B4/7p/p1r3kP/P2r1p2/6pK/6P1/8 b - - 1 54	2	1191	d4d1 d7e6 d1h1	Rd1 Be6 Rh1#	
r1q1k3/pb1p1pQ1/1p1P2nB/n6p/1P4pP/2N5/P1B2PP1/R5K1 w - - 1 25	2	1508	g7g8 g6f8 g8f8	Qg8+ Nf8 Qxf8#	
r2n4/1p2Q3/p1p4p/3P1kp1/2b2P2/P1P3PP/1P3K2/8 w - - 0 35	2	1244	g3g4 f5g6 f4f5	g4+ Kg6 f5#	
r2r3k/1q5p/1pp1pp1Q/3P4/5R2/2P3RP/P4PP1/6K1 w - - 0 28	2	1411	h6f6 b7g7 f6g7	Qxf6+ Qg7 Qxg7#	
r4rk1/1b6/1P1p3p/p2Nb3/2P5/P4q2/2BB4/1RQ3K1 b - - 1 27	2	1783	f3g3 g1h1 g3h2	Qg3+ Kh1 Qh2#	
1Q6/pp3pk1/5b2/2P3p1/8/P5Pb/2p2P1P/5NK1 b - - 0 35	3	3159	c2c1q b8f8 g7f8 f2f3 c1f1	c1=Q Qf8+ Kxf8 f3 Qxf1#	
