k	pairs	c_scale	r_k	y	wins	losses	draws	ptnml	LmrHistDiv	LmrHistClamp
0	24	2.054887	0.003993184	-3	14	17	17	2/10/4/5/3	427	2
1	48	1.915949	0.0045715199	-4	16	20	12	4/5/8/5/2	422	2
2	72	1.839072	0.0049383343	-3	18	21	9	6/5/5/2/6	426	2
3	96	1.786405	0.0052093496	11	22	11	15	2/4/4/9/5	439	2
4	120	1.746594	0.0054242592	5	22	17	9	4/4/5/5/6	445	2
5	144	1.714726	0.0056018519	-7	12	19	17	2/6/13/3/0	436	2
6	168	1.688235	0.0057526333	-2	16	18	14	0/7/13/3/1	434	2
7	192	1.665620	0.0058831224	-7	13	20	15	2/9/9/2/2	443	2
8	216	1.645923	0.0059976662	0	16	16	16	3/5/8/5/3	443	2
9	240	1.628501	0.0060993206	6	20	14	14	3/2/10/4/5	435	2
10	264	1.612899	0.0061903227	8	23	15	10	2/3/9/5/5	425	2
11	288	1.598787	0.0062723636	8	20	12	16	2/2/10/6/4	435	2
12	312	1.585914	0.0063467551	-4	13	17	18	3/6/9/4/2	440	2
13	336	1.574088	0.0064145375	-15	8	23	17	7/7/5/4/1	460	2
14	360	1.563157	0.0064765504	-1	16	17	15	3/5/8/6/2	461	2
15	384	1.553001	0.0065334824	-17	8	25	15	6/7/9/2/0	483	2
16	408	1.543521	0.0065859055	16	25	9	14	1/2/8/6/7	504	2
17	432	1.534636	0.0066343006	-2	17	19	12	2/4/12/6/0	501	2
18	456	1.526279	0.0066790762	-10	13	23	12	6/6/6/4/2	514	2
19	480	1.518392	0.0067205825	3	17	14	17	0/5/13/4/2	510	2
20	504	1.510928	0.0067591218	6	20	14	14	1/4/9/8/2	503	2
21	528	1.503845	0.0067949574	-2	15	17	16	3/5/9/5/2	500	2
22	552	1.497109	0.00682832	-2	17	19	12	4/5/7/5/3	503	2
23	576	1.490687	0.0068594127	-1	19	20	9	4/3/10/4/3	504	2
24	600	1.484554	0.0068884155	0	13	13	22	1/8/8/4/3	504	2
25	624	1.478685	0.0069154889	3	17	14	17	1/4/12/5/2	508	2
26	648	1.473059	0.0069407761	-5	16	21	11	7/5/4/2/6	514	2
27	672	1.467658	0.0069644059	1	19	18	11	1/5/12/4/2	516	2
28	696	1.462466	0.0069864944	13	22	9	17	0/3/11/4/6	533	2
29	720	1.457467	0.0070071466	4	17	13	18	0/8/7/6/3	538	2
30	744	1.452648	0.0070264579	2	20	18	10	2/4/10/6/2	540	2
31	768	1.447997	0.007044515	7	22	15	11	5/1/5/8/5	550	2
32	792	1.443504	0.0070613972	-4	15	19	14	1/8/11/2/2	555	2
33	816	1.439158	0.0070771771	-2	15	17	16	3/4/11/4/2	552	2
34	840	1.434951	0.0070919213	-6	16	22	10	6/3/9/3/3	544	2
35	864	1.430874	0.0071056911	3	17	14	17	1/8/6/5/4	548	2
36	888	1.426920	0.0071185428	-2	15	17	16	3/6/8/4/3	546	2
37	912	1.423081	0.0071305289	4	19	15	14	1/4/10/8/1	541	2
38	936	1.419353	0.0071416974	-6	14	20	14	2/8/10/2/2	533	2
39	960	1.415728	0.0071520934	-7	11	18	19	3/9/5/6/1	542	2
40	984	1.412202	0.0071617583	1	19	18	11	3/5/7/6/3	541	2
