# S109 late move pruning census. depth is remaining depth at the
# node; move is the index of the legal move searched, from 1.
kind	depth	move	count
cutoff	1	1	230982
cutoff	1	2	113767
cutoff	1	3	81797
cutoff	1	4	55870
cutoff	1	5	33261
cutoff	1	6	17078
cutoff	1	7	8551
cutoff	1	8	5196
cutoff	1	9	4050
cutoff	1	10	2754
cutoff	1	11	2164
cutoff	1	12	1915
cutoff	1	13	1679
cutoff	1	14	1607
cutoff	1	15	1401
cutoff	1	16	1298
cutoff	1	17	1077
cutoff	1	18	1004
cutoff	1	19	917
cutoff	1	20	854
cutoff	1	21	848
cutoff	1	22	685
cutoff	1	23	635
cutoff	1	24	557
cutoff	1	25	535
cutoff	1	26	472
cutoff	1	27	393
cutoff	1	28	371
cutoff	1	29	357
cutoff	1	30	310
cutoff	1	31	270
cutoff	1	32	266
cutoff	1	33	213
cutoff	1	34	193
cutoff	1	35	148
cutoff	1	36	172
cutoff	1	37	108
cutoff	1	38	119
cutoff	1	39	96
cutoff	1	40	94
cutoff	1	41	73
cutoff	1	42	76
cutoff	1	43	54
cutoff	1	44	45
cutoff	1	45	34
cutoff	1	46	19
cutoff	1	47	24
cutoff	1	48	14
cutoff	1	49	13
cutoff	1	50	13
cutoff	1	51	9
cutoff	1	52	6
cutoff	1	53	4
cutoff	1	54	6
cutoff	1	55	2
cutoff	1	56	3
cutoff	1	57	1
cutoff	1	58	1
cutoff	1	60	1
cutoff	1	61	1
cutoff	2	1	101824
cutoff	2	2	17632
cutoff	2	3	12375
cutoff	2	4	8627
cutoff	2	5	5961
cutoff	2	6	3653
cutoff	2	7	2082
cutoff	2	8	1324
cutoff	2	9	1034
cutoff	2	10	786
cutoff	2	11	587
cutoff	2	12	532
cutoff	2	13	469
cutoff	2	14	447
cutoff	2	15	410
cutoff	2	16	364
cutoff	2	17	315
cutoff	2	18	285
cutoff	2	19	245
cutoff	2	20	203
cutoff	2	21	198
cutoff	2	22	174
cutoff	2	23	183
cutoff	2	24	144
cutoff	2	25	121
cutoff	2	26	120
cutoff	2	27	127
cutoff	2	28	110
cutoff	2	29	105
cutoff	2	30	91
cutoff	2	31	72
cutoff	2	32	83
cutoff	2	33	70
cutoff	2	34	58
cutoff	2	35	49
cutoff	2	36	56
cutoff	2	37	43
cutoff	2	38	33
cutoff	2	39	16
cutoff	2	40	29
