# S109 sweep grid: the shallow-depth pruning block live, taken 2026-09-13 on
# the workstation with adocs/data/S203_case_sweep.sh and the binary of this
# step. Read by tests/test_mate_carry.cpp short_line_ceiling() together with
# S204_sweep_head.txt and S204_sweep_killer_iter_clear.txt.
The sweep grid. Stride 2 is one side's own turns, which is what a game
gives an engine's table; stride 1 is a table no game produces (DEC-151),
and the existing rows use it, so both are swept.
case                      stride     nodes  mates  short
A_mate8_shallow                1    100000      0      0
A_mate8_shallow                1    300000      4      0
A_mate8_shallow                1    500000     17      0
A_mate8_shallow                1   1000000     13      0
A_mate8_shallow                1   1200000     15      0
A_mate8_shallow                1   1500000     14      0
A_mate8_shallow                1   2000000     14      0
A_mate8_shallow                1   3000000     10      0
A_mate8_shallow                1   4000000     10      0
A_mate8_shallow                2    100000      0      0
A_mate8_shallow                2    300000      2      0
A_mate8_shallow                2    500000      2      0
A_mate8_shallow                2   1000000      4      0
A_mate8_shallow                2   1200000      4      0
A_mate8_shallow                2   1500000      4      0
A_mate8_shallow                2   2000000      4      0
A_mate8_shallow                2   3000000      4      0
A_mate8_shallow                2   4000000      4      0
B_mate6_shallow                1    100000      6      0
B_mate6_shallow                1    300000     19      0
B_mate6_shallow                1    500000     12      0
B_mate6_shallow                1   1000000     46      0
B_mate6_shallow                1   1200000     41      0
B_mate6_shallow                1   1500000     30      0
B_mate6_shallow                1   2000000     33      0
B_mate6_shallow                1   3000000     52      8
B_mate6_shallow                1   4000000     60      0
B_mate6_shallow                2    100000      2      0
B_mate6_shallow                2    300000      2      0
B_mate6_shallow                2    500000      7      0
B_mate6_shallow                2   1000000      3      0
B_mate6_shallow                2   1200000     19      3
B_mate6_shallow                2   1500000     11      0
B_mate6_shallow                2   2000000     22      0
B_mate6_shallow                2   3000000     31      0
B_mate6_shallow                2   4000000     31      0
C_mate7_depth11                1    100000      0      0
C_mate7_depth11                1    300000      0      0
C_mate7_depth11                1    500000      0      0
C_mate7_depth11                1   1000000      0      0
C_mate7_depth11                1   1200000      2      0
C_mate7_depth11                1   1500000      0      0
C_mate7_depth11                1   2000000      5      0
C_mate7_depth11                1   3000000      5      0
C_mate7_depth11                1   4000000      4      0
C_mate7_depth11                2    100000      0      0
C_mate7_depth11                2    300000      0      0
C_mate7_depth11                2    500000      0      0
C_mate7_depth11                2   1000000      0      0
C_mate7_depth11                2   1200000      2      0
C_mate7_depth11                2   1500000      0      0
C_mate7_depth11                2   2000000      0      0
C_mate7_depth11                2   3000000      7      0
C_mate7_depth11                2   4000000      0      0
D_mate_minus6_depth10          1    100000      0      0
D_mate_minus6_depth10          1    300000      0      0
D_mate_minus6_depth10          1    500000      0      0
D_mate_minus6_depth10          1   1000000      0      0
D_mate_minus6_depth10          1   1200000      0      0
D_mate_minus6_depth10          1   1500000      0      0
D_mate_minus6_depth10          1   2000000      0      0
D_mate_minus6_depth10          1   3000000      4      2
D_mate_minus6_depth10          1   4000000      4      0
D_mate_minus6_depth10          2    100000      0      0
D_mate_minus6_depth10          2    300000      0      0
D_mate_minus6_depth10          2    500000      0      0
D_mate_minus6_depth10          2   1000000      0      0
D_mate_minus6_depth10          2   1200000      0      0
D_mate_minus6_depth10          2   1500000      0      0
D_mate_minus6_depth10          2   2000000      0      0
D_mate_minus6_depth10          2   3000000      0      0
D_mate_minus6_depth10          2   4000000      0      0
E_mate_minus9                  1    100000      0      0
E_mate_minus9                  1    300000     18      0
E_mate_minus9                  1    500000     10      0
E_mate_minus9                  1   1000000     13      8
E_mate_minus9                  1   1200000     13      0
E_mate_minus9                  1   1500000     13      9
E_mate_minus9                  1   2000000     17      2
E_mate_minus9                  1   3000000     21      0
E_mate_minus9                  1   4000000     17      1
E_mate_minus9                  2    100000      2      0
E_mate_minus9                  2    300000      0      0
E_mate_minus9                  2    500000      0      0
E_mate_minus9                  2   1000000      0      0
E_mate_minus9                  2   1200000      0      0
E_mate_minus9                  2   1500000      4      0
E_mate_minus9                  2   2000000      6      0
E_mate_minus9                  2   3000000      8      0
E_mate_minus9                  2   4000000      7      0
F_mate6_inherited_no_line       1    100000     18     11
F_mate6_inherited_no_line       1    300000     28      0
F_mate6_inherited_no_line       1    500000     31      0
F_mate6_inherited_no_line       1   1000000     33      3
F_mate6_inherited_no_line       1   1200000     35      0
F_mate6_inherited_no_line       1   1500000     32      0
F_mate6_inherited_no_line       1   2000000     22      0
F_mate6_inherited_no_line       1   3000000     34      0
F_mate6_inherited_no_line       1   4000000     34      0
F_mate6_inherited_no_line       2    100000      4      0
F_mate6_inherited_no_line       2    300000      6      0
F_mate6_inherited_no_line       2    500000     12      0
F_mate6_inherited_no_line       2   1000000     18      0
F_mate6_inherited_no_line       2   1200000      8      5
F_mate6_inherited_no_line       2   1500000     18      0
F_mate6_inherited_no_line       2   2000000     16      0
F_mate6_inherited_no_line       2   3000000     15      1
F_mate6_inherited_no_line       2   4000000     15      0
