fen	depth	best	total_nodes	root_nodes	best_nodes	share_pct
8/7p/2K5/5p2/5k2/4p3/8/8 b - - 0 57	12	e3e2	28859	28835	27969	97
8/8/8/4kP2/8/8/5K2/8 w - - 1 127	12	f5f6	1233	1221	598	49
8/6pp/8/6kP/5p2/8/4K1P1/8 b - - 4 46	12	g5h5	33954	33935	27826	82
8/8/8/4k3/7p/5K2/8/8 b - - 7 77	12	e5f5	8014	7994	6235	78
8/8/2K1k3/1P6/8/3N4/8/8 b - - 1 75	12	e6e7	50679	50649	6584	13
8/k7/P7/1P6/5n2/3pp3/8/4K3 b - - 1 53	12	f4g2	23697	23667	21063	89
2k5/8/pPn5/8/2K5/8/8/8 b - - 3 92	12	c8b7	19741	19721	17157	87
8/2K5/8/2P5/2b5/2k5/8/8 w - - 3 159	12	c7d6	16001	15975	14856	93
B7/2K4p/8/5p2/5k2/1P2p3/8/4n3 b - - 0 54	12	e3e2	68070	68035	65993	97
8/8/4k3/8/6K1/8/8/5r2 b - - 8 86	12	e6e5	35476	35463	22341	63
8/7p/4k1nP/5pB1/3K4/8/8/8 b - - 9 63	12	g6e5	43748	43731	24052	55
8/8/8/8/n7/3Bk3/6K1/8 b - - 7 71	12	a4c3	24590	24575	9338	38
5R2/B7/8/1p6/1P5p/2k1P2K/6PP/8 b - - 0 58	12	c3b4	42600	42578	40023	94
8/6N1/8/6k1/3K4/8/8/4r3 w - - 27 94	12	d4d5	42108	42096	39149	93
8/5p2/1B2p3/8/8/3K1k2/6p1/5r2 w - - 0 68	12	d3c4	122535	122517	15927	13
8/5b2/2p2p2/2P1pP2/4P1k1/8/p4K2/7R w - - 43 136	12	f2e3	52606	52582	41539	79
8/2p3k1/p7/1p2N2n/4p3/P5P1/1P6/3R2K1 b - - 0 50	12	h5g3	102715	102691	48264	47
7R/5k2/8/5p1p/3K2p1/4P1Pr/8/8 b - - 8 68	12	f7g7	115417	115397	107319	93
8/1ppk1p2/7p/P2P2p1/2P1R1P1/4K3/7P/2r5 w - - 2 42	12	e3d4	88226	88209	38811	44
4b3/1N2k1p1/4p2p/3pP2P/3P2P1/8/1N1b1K2/8 w - - 2 53	12	b2d3	59260	59243	46801	79
4r3/5ppk/p6p/PpB5/8/1P2P3/6PP/5RK1 b - - 1 36	12	h7g6	118793	118775	61763	52
8/6p1/5k2/2q1p3/8/5B2/8/5K2 w - - 0 83	12	f1e2	174841	174821	75173	43
5R2/8/8/4k3/4pp2/2K5/Pn3r2/8 b - - 7 45	12	b2a4	138280	138260	92634	67
4R3/8/8/3k2K1/4p3/4Br2/5P2/8 b - - 13 110	12	f3h3	86437	86419	38024	44
6k1/pp3p1p/8/8/8/2K4P/P4Pq1/3R4 w - - 0 28	12	d1d3	424940	424920	101980	24
6k1/5p2/3p2pp/4b3/4PNPP/4RK2/8/r7 w - - 2 40	12	f4g2	87644	87630	43815	50
1r6/5b2/2p2p2/2P1pP2/4P3/2KB2k1/p7/R7 w - - 34 97	12	a1g1	111051	111029	16654	15
8/8/8/8/q7/2R5/1K1k4/8 w - - 72 97	12	c3b3	76422	76401	32852	43
8/8/5p2/4p2N/4P3/1p1q1k1K/1P6/6r1 w - - 0 61	12	h5g3	593506	593484	587549	99
8/4K1nk/1r6/5p1p/3Q4/4P3/5P2/8 b - - 4 63	12	b6g6	91456	91434	47545	52
2k3r1/2N5/2n5/pp3p2/4pp2/B1P4p/PP2KP2/3R4 b - - 1 32	12	f4f3	74995	74978	32240	43
8/3r1N2/8/7R/8/4bnk1/K7/8 w - - 15 69	12	h5f5	104634	104619	59632	57
6k1/pp3p1p/6q1/8/8/2r4P/PK3PP1/3R4 w - - 0 27	12	b2c3	304583	304564	261925	86
8/4Q3/8/1p6/1kp5/6P1/3q1PK1/8 b - - 20 100	12	b4b3	130851	130826	65413	50
3B3k/pb5p/4B1p1/8/1P6/P1n1p3/5rPP/4R1K1 b - - 0 53	12	f2g2	164676	164649	19757	12
6k1/1p1n1p2/1p1B4/2pP4/2P2R1P/N7/4b1K1/3r4 w - - 10 32	12	g2f2	220359	220342	59492	27
3rR2r/3P1ppk/p6p/Pp6/1B6/1P2P3/6PP/5RK1 b - - 0 34	12	d8d7	80044	80026	37612	47
5r1k/4RB2/6p1/p5rp/8/1P6/2P2R1K/8 b - - 3 35	12	g5g4	124912	124895	74937	60
r5k1/3P3p/p3p1P1/3b1p2/5P2/BP1N4/P2r4/2R2K2 b - - 4 35	12	d5g2	139465	139435	50196	36
5k2/1p1r4/2n2B2/p1P5/P5Q1/1b2PP2/7P/5K2 b - - 0 45	12	f8e8	267705	267686	176672	66
5rkr/3P1pp1/p3R2p/Pp6/1n6/1P2P3/6PP/4BRK1 b - - 0 32	12	f8d8	66612	66588	37955	57
2q3k1/2P3p1/4p3/4b1p1/8/7P/p1R3B1/3R3K w - - 0 49	12	d1d8	64698	64664	18752	29
r4rk1/pp6/3pP2p/2p1n3/5p2/2P5/P3NPPP/2KR3R b - - 0 20	12	a8e8	52541	52521	24684	47
8/r4k2/p2r1np1/1p1N1p1p/1PpR3P/4P1P1/1P3PK1/3R4 b - - 0 63	12	f6d5	66151	66135	27776	42
7k/1p3p1B/5p2/p1r5/3P4/6PK/PP2q3/R6R w - - 0 32	12	d4c5	96984	96966	56240	58
3k4/1p5R/1pp5/3n4/2NP1rK1/P1b5/2R4P/3r4 w - - 15 51	12	g4h3	174128	174104	81828	47
1r5r/1bN2kPP/3p1b2/2pP1P2/1pP5/pP4R1/P5K1/4R3 w - - 3 54	12	g7h8q	114406	114390	50331	44
5q1k/pp1b4/3p1p1p/P1pP1P2/2P3P1/4Q3/7P/4R1K1 w - - 5 32	12	e3e7	20182	20164	9275	46
8/pp3k1p/5p2/3Bp3/3n2rP/1P4q1/2P5/2R3RK b - - 1 34	12	f7e7	114274	114256	66268	58
5rk1/p2R4/1p2P3/1qp1Q3/8/5PP1/1P4KP/8 b - - 6 43	12	b5d7	55933	55907	45843	82
r3k2r/5pp1/2n2n2/pPBp4/4pP2/2P3P1/P3B3/3RR1K1 b - - 0 28	12	c6e7	144582	144559	56378	39
3r1rk1/1p2bp2/p1bppp1p/5P1P/4P3/2NBR3/PPP3P1/1K1R4 w - - 0 20	12	e3g3	432727	432711	17308	4
4kNn1/1Np3r1/p1r5/1pB1ppbp/4P1P1/P2R2P1/1P6/3R2K1 b - - 0 37	12	f5e4	181420	181396	90698	50
4kb1r/pp3ppp/4p3/1N6/P1K1b3/8/1P4PP/R1Br1B1R b k - 0 16	12	f8e7	176574	176558	98872	56
1q4k1/p2r1p2/2R1p1pp/8/6PP/4QB2/5PK1/8 b - - 2 38	12	g8h7	198817	198798	125242	63
3rn1k1/p3b1pp/4b3/1R2P3/4N1P1/4KB1P/3r4/7R w - - 0 34	12	e4d2	80705	80687	55674	69
2r3k1/pp3p1p/6q1/8/8/2r1Q2P/PK3PP1/3R4 w - - 0 26	12	e3c3	313481	313462	216288	69
6k1/7p/1p4p1/2pPb3/p1Pr2P1/P1R1p3/1P2Q1KP/3qB3 w - - 4 36	12	c3e3	72147	72131	41835	58
8/4rkp1/1p2p3/p2bPp1p/P2P1P2/2R1B3/1Q4PK/5q2 w - - 4 50	12	c3c1	185623	185606	35265	19
7q/5b1k/p2p1n2/P1pP1PQ1/2P5/7P/7K/R6R w - - 3 42	12	h1g1	147277	147250	70680	48
2r4k/1p3p1B/5p2/p1Q5/3P4/6P1/PP2q1K1/R6R w - - 1 31	12	g2g1	29756	29734	10406	35
2b1r1k1/5p2/3B3p/p1RB1qp1/8/P5QP/6P1/6K1 b - - 4 35	12	a5a4	443381	443361	57636	13
5rk1/1Q3ppp/4p3/3rP3/5P2/4P3/2q2KPP/2B2R2 w - - 2 28	12	f2g3	275185	275159	211872	77
7k/p1p3b1/1p3qnp/8/1P2Q3/P3N2R/3r1P2/5K2 w - - 1 35	12	h3f3	150685	150662	85877	57
r2q1k1r/1p2pp1p/p7/3p1p2/8/1P1B1Q1P/P2N1PP1/R5K1 b - - 0 16	12	e7e6	180319	180303	104575	58
3q1rk1/Q7/R1b1pp1p/1p1pB1pB/2pP4/2P1PP1P/1P1n2P1/6K1 b - - 1 25	12	d8d7	110243	110226	54010	49
r3k2r/3nnpp1/p1Q5/3pp3/7p/2PBB3/PP3PPP/R4RK1 b kq - 0 19	12	e7c6	193185	193169	185442	96
1r6/2p2k2/5nR1/p2p1B1p/3P1q2/5P2/1PQ3K1/4R3 b - - 1 41	12	b8b6	470942	470915	164820	35
2r3k1/pp3p1p/6q1/8/2r5/2b1Q2P/PK3PP1/2RR4 w - - 0 25	12	c1c3	79770	79753	57422	72
4r1k1/1pq4p/p3pp2/3bb1pP/6Q1/P3B3/1PPR2P1/1K3R2 w - - 2 36	12	h5h6	144285	144272	40396	28
