# S145 mate-safety set. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S145_mate_set.py generate
# Re-check an existing file, both oracles, from scratch:
#   ~/.venv/chess/bin/python adocs/data/S145_mate_set.py verify
# defender_nodes are the positions at plies 1, 3, ... on the
# quiet mating line, which are the nodes the guard has to search.
fen	distance	family	lead	proof_nodes	key	defender_nodes
1krbrb2/2p1p1p1/K1P1P1P1/8/8/2Q5/8/8 w - - 0 1	2	shift2	760	27	c3c5	1krbrb2/2p1p1p1/K1P1P1P1/2Q5/8/8/8/8 b - - 1 1
2brbr1k/1p1p1p2/1P1P1P2/8/5K2/8/8/Q7 w - - 0 1	2	shift2_flip	760	566	a1g1	2brbr1k/1p1p1p2/1P1P1P2/8/5K2/8/8/6Q1 b - - 1 1
2brbr2/1p1p1p2/1P1P1P2/8/2Q5/5K1k/8/8 w - - 0 1	2	shift2_flip	760	71	c4f4	2brbr2/1p1p1p2/1P1P1P2/8/5Q2/5K1k/8/8 b - - 1 1
2k1brbr/3p1p1p/3P1P1P/8/8/8/5QK1/8 w - - 0 1	2	shift0_flip	760	279	f2a7	2k1brbr/Q2p1p1p/3P1P1P/8/8/8/6K1/8 b - - 1 1
2k5/8/8/8/3q4/2p1p1p1/2P1P1P1/2RBRBK1 b - - 0 1	2	shift2_black	760	195	d4h8	2k4q/8/8/8/8/2p1p1p1/2P1P1P1/2RBRBK1 w - - 1 2
2rbrbk1/2p1p1p1/2P1P1P1/8/2Q5/8/8/2K5 w - - 0 1	2	shift2	760	134	c4h4	2rbrbk1/2p1p1p1/2P1P1P1/8/7Q/8/8/2K5 b - - 1 1
3k4/8/K7/5q2/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	2	shift0_flip_black	760	283	d8c7	8/2k5/K7/5q2/8/3p1p1p/3P1P1P/4BRBR w - - 1 2
4K3/8/8/4k3/5q2/p1p1p3/P1P1P3/RBRB4 b - - 0 1	2	shift0_black	760	133	e5e6	4K3/8/4k3/8/5q2/p1p1p3/P1P1P3/RBRB4 w - - 1 2
4brbr/3p1p1p/3P1P1P/8/8/8/2Q1K3/6k1 w - - 0 1	2	shift0_flip	760	183	e2f3	4brbr/3p1p1p/3P1P1P/8/8/5K2/2Q5/6k1 b - - 1 1
4k3/8/3q4/8/8/1p1p1p2/1P1P1P2/2BRBR1K b - - 0 1	2	shift2_flip_black	760	361	d6g6	4k3/8/6q1/8/8/1p1p1p2/1P1P1P2/2BRBR1K w - - 1 2
7q/8/5k2/8/8/3p1p1p/3P1P1P/3KBRBR b - - 0 1	2	shift0_flip_black	760	170	h8a8	q7/8/5k2/8/8/3p1p1p/3P1P1P/3KBRBR w - - 1 2
8/3k4/8/7q/8/1p1p1p2/1P1P1P2/1KBRBR2 b - - 0 1	2	shift2_flip_black	760	590	h5a5	8/3k4/8/q7/8/1p1p1p2/1P1P1P2/1KBRBR2 w - - 1 2
8/8/8/4k3/6q1/p1p1p3/P1P1P3/RBRB1K2 b - - 0 1	2	shift0_black	760	176	e5f6	8/8/5k2/8/6q1/p1p1p3/P1P1P3/RBRB1K2 w - - 1 2
8/8/8/7q/8/2p1p1p1/2P1PkP1/K1RBRB2 b - - 0 1	2	shift2_black	760	370	h5b5	8/8/8/1q6/8/2p1p1p1/2P1PkP1/K1RBRB2 w - - 1 2
