# S145 mined breadth set: the final position of one game per row,
# labelled by stockfish at 200000 nodes. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S145_mined_set.py mine --games N
# Scored as a count with a floor, never per position:
#   ~/.venv/chess/bin/python adocs/data/S145_mined_set.py score --depth 10 --floor 143
fen	distance	game
3rb1nk/5p1p/p3pP1Q/Pp1pP3/1Pp5/2P5/5PB1/2BR2K1 w - - 0 56	1	5645
3rr3/1b4R1/p3p2k/1pQ5/5p2/P1B2P2/1q4P1/4R1K1 w - - 2 41	1	2145
4r1k1/2p2p1p/p1p4Q/P3p2N/4P3/7b/5bP1/1R5K w - - 0 26	1	4547
5r1k/1p1b2p1/pq2p1Q1/3p2N1/1r3Bn1/8/5bPP/R2R3K w - - 0 27	1	1153
6Rb/8/8/5K1k/8/8/8/8 w - - 100 114	1	1854
6k1/pb1p2pp/Qp1p4/3P1r2/1P2P2P/P2B2q1/5r2/3RR2K b - - 1 27	1	2570
7r/1ppb2k1/p1n1p3/7R/3P4/PQ2PP2/1P3qP1/2R2B1K b - - 2 30	1	2739
8/8/2b5/2k1p1pB/r1P5/1K6/r5PP/6R1 b - - 0 45	1	1175
8/8/8/P7/6PP/8/4rpk1/2K5 b - - 0 89	1	1344
r4r1k/1p3p2/pqb2R2/3pP1Q1/3P4/1P4P1/1P4PP/R6K w - - 1 28	1	5349
1Rb2bkr/8/4NpPp/3p4/p7/6B1/6PK/8 w - - 4 44	2	4467
1k1r3r/RPn1ppb1/Qn4pp/1Np1P3/2p5/5B2/1P3PPP/2B1K2R w K - 3 21	2	2993
1k2r3/pp4Q1/2b1P3/2p2P2/6P1/2N5/P6K/4qR2 b - - 0 34	2	987
1n4r1/q4pBk/r2R4/p3n3/1p1P2Q1/P7/P5PP/2R3K1 w - - 4 30	2	45
1qr5/7k/b2p2pB/3p2P1/2p1P3/2P5/5QPP/1r3RK1 w - - 0 38	2	3843
2Q5/R3Np1k/5P2/6p1/N7/4n1r1/P3b3/7K b - - 0 34	2	1426
2R5/p4p1p/5pk1/5N2/4n3/4P1P1/r6P/5RK1 w - - 3 39	2	5812
2b3k1/1p5p/6pb/3Pp3/P3P2P/6N1/1P3q2/7K b - - 0 41	2	4639
2r2q1r/pp1k1B2/3p1p1p/5P2/2Q3b1/P5Pp/1P5P/2R1R1K1 w - - 3 27	2	3229
2rqrk2/3nb3/p4nQ1/2p3N1/Ppb1RB2/8/1P1N1PPP/R5K1 w - - 9 27	2	410
3r1k2/4N1p1/6Q1/p1b5/5Pb1/6P1/3rR1KP/8 b - - 2 38	2	631
3r1r1k/1p4pn/pN1p3p/P2Pp2q/1pB1Pb2/3Q1P2/1PP2P2/RN1R1bK1 b - - 7 28	2	2420
4k3/R5P1/p4p2/1p3PK1/2n5/8/6B1/2r5 w - - 0 43	2	2983
4r1k1/1p2R3/pqpp3p/2n2Q2/8/P1N4P/1P3PP1/6K1 w - - 1 25	2	1978
4r1k1/p4p1p/2p2p2/2N5/1PB5/5q1P/1PPr1P1K/RQ2R3 b - - 0 25	2	3114
5rk1/pp3p1p/2p2PpQ/8/n7/P6P/1PP3Pq/5B1K w - - 1 27	2	5940
6k1/1R3p2/7p/2b1B1nP/Q1P1P2K/P4P2/1P6/6q1 b - - 3 39	2	1231
6k1/4n1p1/p6p/4P3/PpP1P1P1/1P1q4/3r3P/2R4K b - - 0 43	2	5878
6qk/7p/2p2p1B/4R2P/4P1Q1/1p4P1/5P2/6K1 w - - 1 43	2	5527
7k/2p3pp/8/p3P3/4PP2/P6b/4qQ1P/2B3K1 b - - 0 40	2	2913
7k/pp6/4P1p1/7p/7P/6bK/P1B3P1/4q3 b - - 0 39	2	4306
7r/2N2Qpp/p4p1k/8/1b1R4/5PB1/5P1P/6K1 w - - 0 31	2	1210
7r/p4kp1/1p1Ppn2/4PppB/8/2P1q3/PP3RPr/1R4K1 b - - 1 23	2	2977
8/1kp5/1p2P3/3p1p2/3P3P/2P5/r6P/5qQK b - - 1 52	2	473
8/1p1r2k1/2p4p/3p3r/1Q1P1Rp1/P3P3/1P2BK2/2R4q b - - 4 39	2	1045
8/2R5/p4pP1/1b1p4/1P4P1/6k1/1r6/6K1 b - - 4 52	2	1687
8/3Q2pr/p7/8/2Nb3q/7R/P6K/4k3 b - - 1 43	2	3316
8/8/5kp1/p1pPP3/2P5/P3b1Pp/7P/3b3K b - - 0 39	2	3664
8/R2B4/7p/p1r3kP/P2r1p2/6pK/6P1/8 b - - 1 54	2	5650
r1q1k3/pb1p1pQ1/1p1P2nB/n6p/1P4pP/2N5/P1B2PP1/R5K1 w - - 1 25	2	2225
r2n4/1p2Q3/p1p4p/3P1kp1/2b2P2/P1P3PP/1P3K2/8 w - - 0 35	2	2676
r2r3k/1q5p/1pp1pp1Q/3P4/5R2/2P3RP/P4PP1/6K1 w - - 0 28	2	3985
r4rk1/1b6/1P1p3p/p2Nb3/2P5/P4q2/2BB4/1RQ3K1 b - - 1 27	2	3820
1Q6/pp3pk1/5b2/2P3p1/8/P5Pb/2p2P1P/5NK1 b - - 0 35	3	26
1r6/5pk1/p2pp1p1/Q2B2n1/8/2P1P1q1/1PR3Pr/R5K1 b - - 4 31	3	1379
2r4k/3R1Q2/7p/p1p3p1/4P3/P3N1PP/1q3PK1/5b2 w - - 1 39	3	4698
3k3r/6R1/3K4/3B4/3N4/pp6/8/8 w - - 0 62	3	3919
3r2k1/1bp4p/1p4rQ/p2pNp2/3P4/PqP3R1/1P3PPP/4R1K1 w - - 1 32	3	1705
3r2k1/p3Q1p1/2p1p1rp/8/3P1P2/5P2/PP1K3P/R2R2q1 b - - 8 31	3	173
4Q3/1R4pk/4Pp1p/8/8/2B3P1/r4b1P/5K2 w - - 1 45	3	737
4r2k/1p4rp/p1p3q1/P3b3/4p3/1QPnB2P/1P2n1B1/R5RK b - - 1 31	3	895
5K2/5P1B/3k4/8/1p6/5P2/8/q7 b - - 1 59	3	5492
