# S165 defender-side mate set. Regenerate with:
#   ~/.venv/chess/bin/python adocs/data/S165_nmp_defender_sweep.py generate
# One row per defender node of adocs/data/S145_mate_set.tsv.
# mated_in is the side to move's proved distance from being
# mated, by exhaustive AND/OR enumeration, iterative in the
# distance so every shorter one is refuted. It is NOT
# root_distance - (ply + 1) / 2: that arithmetic is wrong on
# 3 of these 104 rows, because representative_line() takes the
# defender's FIRST legal reply and not its longest.
fen	mated_in	ply	root_distance	family	root_fen
1krbrb2/2p1p1p1/K1P1P1P1/2Q5/8/8/8/8 b - - 1 1	1	1	2	shift2	1krbrb2/2p1p1p1/K1P1P1P1/8/8/2Q5/8/8 w - - 0 1
2brbr1k/1p1p1p2/1P1P1P2/8/5K2/8/8/6Q1 b - - 1 1	1	1	2	shift2_flip	2brbr1k/1p1p1p2/1P1P1P2/8/5K2/8/8/Q7 w - - 0 1
2brbr2/1p1p1p2/1P1P1P2/8/5Q2/5K1k/8/8 b - - 1 1	1	1	2	shift2_flip	2brbr2/1p1p1p2/1P1P1P2/8/2Q5/5K1k/8/8 w - - 0 1
2k1brbr/Q2p1p1p/3P1P1P/8/8/8/6K1/8 b - - 1 1	1	1	2	shift0_flip	2k1brbr/3p1p1p/3P1P1P/8/8/8/5QK1/8 w - - 0 1
2k4q/8/8/8/8/2p1p1p1/2P1P1P1/2RBRBK1 w - - 1 2	1	1	2	shift2_black	2k5/8/8/8/3q4/2p1p1p1/2P1P1P1/2RBRBK1 b - - 0 1
2rbrbk1/2p1p1p1/2P1P1P1/8/7Q/8/8/2K5 b - - 1 1	1	1	2	shift2	2rbrbk1/2p1p1p1/2P1P1P1/8/2Q5/8/8/2K5 w - - 0 1
8/2k5/K7/5q2/8/3p1p1p/3P1P1P/4BRBR w - - 1 2	1	1	2	shift0_flip_black	3k4/8/K7/5q2/8/3p1p1p/3P1P1P/4BRBR b - - 0 1
4K3/8/4k3/8/5q2/p1p1p3/P1P1P3/RBRB4 w - - 1 2	1	1	2	shift0_black	4K3/8/8/4k3/5q2/p1p1p3/P1P1P3/RBRB4 b - - 0 1
4brbr/3p1p1p/3P1P1P/8/8/5K2/2Q5/6k1 b - - 1 1	1	1	2	shift0_flip	4brbr/3p1p1p/3P1P1P/8/8/8/2Q1K3/6k1 w - - 0 1
4k3/8/6q1/8/8/1p1p1p2/1P1P1P2/2BRBR1K w - - 1 2	1	1	2	shift2_flip_black	4k3/8/3q4/8/8/1p1p1p2/1P1P1P2/2BRBR1K b - - 0 1
q7/8/5k2/8/8/3p1p1p/3P1P1P/3KBRBR w - - 1 2	1	1	2	shift0_flip_black	7q/8/5k2/8/8/3p1p1p/3P1P1P/3KBRBR b - - 0 1
