case                       stride     nodes  mates  shortI  wrongII
A_mate8_shallow                 1    100000      0       0        0
A_mate8_shallow                 1    300000      2       0        0
A_mate8_shallow                 1    500000      2       0        0
A_mate8_shallow                 1   1000000     15       1        0
A_mate8_shallow                 1   1200000      8       0        0
A_mate8_shallow                 1   1500000     18       0        0
A_mate8_shallow                 1   2000000      9       0        0
A_mate8_shallow                 1   3000000     10       5        0
A_mate8_shallow                 1   4000000     11       0        0
B_mate6_shallow                 1    100000      0       0        0
B_mate6_shallow                 1    300000     18       0        0
B_mate6_shallow                 1    500000     18       0        0
B_mate6_shallow                 1   1000000     23      11        0
B_mate6_shallow                 1   1200000     27       0        0
B_mate6_shallow                 1   1500000     45       3        0
B_mate6_shallow                 1   2000000     32       0        0
B_mate6_shallow                 1   3000000     39       0        0
B_mate6_shallow                 1   4000000     45       0        0
C_mate7_depth11                 1    100000      0       0        0
C_mate7_depth11                 1    300000      0       0        0
C_mate7_depth11                 1    500000      0       0        0
C_mate7_depth11                 1   1000000      1       0        0
C_mate7_depth11                 1   1200000      0       0        0
C_mate7_depth11                 1   1500000      0       0        0
C_mate7_depth11                 1   2000000     22       0        0
C_mate7_depth11                 1   3000000      0       0        0
C_mate7_depth11                 1   4000000     25       0        0
D_mate_minus6_depth10           1    100000      0       0        0
D_mate_minus6_depth10           1    300000      0       0        0
D_mate_minus6_depth10           1    500000      0       0        0
D_mate_minus6_depth10           1   1000000      0       0        0
D_mate_minus6_depth10           1   1200000      0       0        0
D_mate_minus6_depth10           1   1500000      3       1        0
D_mate_minus6_depth10           1   2000000      0       0        0
D_mate_minus6_depth10           1   3000000      0       0        0
D_mate_minus6_depth10           1   4000000      4       1        0
E_mate_minus9                   1    100000      0       0        0
E_mate_minus9                   1    300000      0       0        0
E_mate_minus9                   1    500000      0       0        0
E_mate_minus9                   1   1000000      4       1        0
E_mate_minus9                   1   1200000     19       0        0
E_mate_minus9                   1   1500000     13       0        0
E_mate_minus9                   1   2000000      2       0        0
E_mate_minus9                   1   3000000     18       0        0
E_mate_minus9                   1   4000000     20       2        0
TOTAL mates 453  class i (short) 25  class ii (full but not mate) 0
