case                       stride     nodes  mates  shortI  wrongII
A_mate8_shallow                 1    100000      0       0        0
A_mate8_shallow                 1    300000      2       2        0
A_mate8_shallow                 1    500000      4       2        0
A_mate8_shallow                 1   1000000     12       0        0
A_mate8_shallow                 1   1200000      8       0        0
A_mate8_shallow                 1   1500000      9       0        0
A_mate8_shallow                 1   2000000     12       0        0
A_mate8_shallow                 1   3000000      9       0        0
A_mate8_shallow                 1   4000000     10       0        0
B_mate6_shallow                 1    100000      8       0        0
B_mate6_shallow                 1    300000      6       0        0
B_mate6_shallow                 1    500000      3       0        0
B_mate6_shallow                 1   1000000     29       5        0
B_mate6_shallow                 1   1200000     24       0        0
B_mate6_shallow                 1   1500000     27       0        0
B_mate6_shallow                 1   2000000     31       6        0
B_mate6_shallow                 1   3000000     47       5        0
B_mate6_shallow                 1   4000000     48       7        0
C_mate7_depth11                 1    100000      0       0        0
C_mate7_depth11                 1    300000      0       0        0
C_mate7_depth11                 1    500000      0       0        0
C_mate7_depth11                 1   1000000      0       0        0
C_mate7_depth11                 1   1200000      0       0        0
C_mate7_depth11                 1   1500000     13       0        0
C_mate7_depth11                 1   2000000      0       0        0
C_mate7_depth11                 1   3000000      0       0        0
C_mate7_depth11                 1   4000000      0       0        0
D_mate_minus6_depth10           1    100000      0       0        0
D_mate_minus6_depth10           1    300000      0       0        0
D_mate_minus6_depth10           1    500000      0       0        0
D_mate_minus6_depth10           1   1000000      0       0        0
D_mate_minus6_depth10           1   1200000      3       1        0
D_mate_minus6_depth10           1   1500000      3       1        0
D_mate_minus6_depth10           1   2000000      0       0        0
D_mate_minus6_depth10           1   3000000      3       1        0
D_mate_minus6_depth10           1   4000000      6       0        0
E_mate_minus9                   1    100000      0       0        0
E_mate_minus9                   1    300000     11       0        0
E_mate_minus9                   1    500000      0       0        0
E_mate_minus9                   1   1000000     12       8        0
E_mate_minus9                   1   1200000     14       1        0
E_mate_minus9                   1   1500000     23       0        0
E_mate_minus9                   1   2000000     11       0        0
E_mate_minus9                   1   3000000     19       0        0
E_mate_minus9                   1   4000000     21       0        0
TOTAL mates 428  class i (short) 39  class ii (full but not mate) 0
