The sweep grid. Stride 2 is one side's own turns, which is what a game
gives an engine's table; stride 1 is a table no game produces (DEC-151),
and the existing rows use it, so both are swept.
case                      stride     nodes  mates  short
A_mate8_shallow                1    100000      0      0
A_mate8_shallow                1    300000      2      2
A_mate8_shallow                1    500000      4      2
A_mate8_shallow                1   1000000     12      0
A_mate8_shallow                1   1200000      8      0
A_mate8_shallow                1   1500000      9      0
A_mate8_shallow                1   2000000     12      0
A_mate8_shallow                1   3000000      9      0
A_mate8_shallow                1   4000000     10      0
A_mate8_shallow                2    100000      0      0
A_mate8_shallow                2    300000      0      0
A_mate8_shallow                2    500000      0      0
A_mate8_shallow                2   1000000      4      0
A_mate8_shallow                2   1200000      4      0
A_mate8_shallow                2   1500000      4      0
A_mate8_shallow                2   2000000      4      0
A_mate8_shallow                2   3000000      4      0
A_mate8_shallow                2   4000000      4      0
B_mate6_shallow                1    100000      8      0
B_mate6_shallow                1    300000      6      0
B_mate6_shallow                1    500000      3      0
B_mate6_shallow                1   1000000     29      5
B_mate6_shallow                1   1200000     24      0
B_mate6_shallow                1   1500000     27      0
B_mate6_shallow                1   2000000     31      6
B_mate6_shallow                1   3000000     47      5
B_mate6_shallow                1   4000000     48      7
B_mate6_shallow                2    100000      1      0
B_mate6_shallow                2    300000      8      0
B_mate6_shallow                2    500000     14      0
B_mate6_shallow                2   1000000     13      0
B_mate6_shallow                2   1200000     19      3
B_mate6_shallow                2   1500000      8      0
B_mate6_shallow                2   2000000     17      0
B_mate6_shallow                2   3000000     18      0
B_mate6_shallow                2   4000000     24      6
C_mate7_depth11                1    100000      0      0
C_mate7_depth11                1    300000      0      0
C_mate7_depth11                1    500000      0      0
C_mate7_depth11                1   1000000      0      0
C_mate7_depth11                1   1200000      0      0
C_mate7_depth11                1   1500000     13      0
C_mate7_depth11                1   2000000      0      0
C_mate7_depth11                1   3000000      0      0
C_mate7_depth11                1   4000000      0      0
C_mate7_depth11                2    100000      0      0
C_mate7_depth11                2    300000      0      0
C_mate7_depth11                2    500000      0      0
C_mate7_depth11                2   1000000      0      0
C_mate7_depth11                2   1200000     11      0
C_mate7_depth11                2   1500000      0      0
C_mate7_depth11                2   2000000      0      0
C_mate7_depth11                2   3000000      0      0
C_mate7_depth11                2   4000000      2      0
D_mate_minus6_depth10          1    100000      0      0
D_mate_minus6_depth10          1    300000      0      0
D_mate_minus6_depth10          1    500000      0      0
D_mate_minus6_depth10          1   1000000      0      0
D_mate_minus6_depth10          1   1200000      3      1
D_mate_minus6_depth10          1   1500000      3      1
D_mate_minus6_depth10          1   2000000      0      0
D_mate_minus6_depth10          1   3000000      3      1
D_mate_minus6_depth10          1   4000000      6      0
D_mate_minus6_depth10          2    100000      0      0
D_mate_minus6_depth10          2    300000      0      0
D_mate_minus6_depth10          2    500000      0      0
D_mate_minus6_depth10          2   1000000      0      0
D_mate_minus6_depth10          2   1200000      0      0
D_mate_minus6_depth10          2   1500000      0      0
D_mate_minus6_depth10          2   2000000      0      0
D_mate_minus6_depth10          2   3000000      0      0
D_mate_minus6_depth10          2   4000000      0      0
E_mate_minus9                  1    100000      0      0
E_mate_minus9                  1    300000     11      0
E_mate_minus9                  1    500000      0      0
E_mate_minus9                  1   1000000     12      8
E_mate_minus9                  1   1200000     14      1
E_mate_minus9                  1   1500000     23      0
E_mate_minus9                  1   2000000     11      0
E_mate_minus9                  1   3000000     19      0
E_mate_minus9                  1   4000000     21      0
E_mate_minus9                  2    100000      0      0
E_mate_minus9                  2    300000      5      0
E_mate_minus9                  2    500000      5      0
E_mate_minus9                  2   1000000      4      0
E_mate_minus9                  2   1200000      0      0
E_mate_minus9                  2   1500000      0      0
E_mate_minus9                  2   2000000      7      0
E_mate_minus9                  2   3000000      8      0
E_mate_minus9                  2   4000000     11      0
F_mate6_inherited_no_line       1    100000      6      0
F_mate6_inherited_no_line       1    300000     20      0
F_mate6_inherited_no_line       1    500000     31      0
F_mate6_inherited_no_line       1   1000000     27      0
F_mate6_inherited_no_line       1   1200000     28      0
F_mate6_inherited_no_line       1   1500000     33      0
F_mate6_inherited_no_line       1   2000000     36      2
F_mate6_inherited_no_line       1   3000000     34      0
F_mate6_inherited_no_line       1   4000000     33      0
F_mate6_inherited_no_line       2    100000      0      0
F_mate6_inherited_no_line       2    300000      4      0
F_mate6_inherited_no_line       2    500000     11      0
F_mate6_inherited_no_line       2   1000000     14      0
F_mate6_inherited_no_line       2   1200000     17      2
F_mate6_inherited_no_line       2   1500000     22      0
F_mate6_inherited_no_line       2   2000000     22      0
F_mate6_inherited_no_line       2   3000000     19      0
F_mate6_inherited_no_line       2   4000000     15      0
