The sweep grid. Stride 2 is one side's own turns, which is what a game
gives an engine's table; stride 1 is a table no game produces (DEC-151),
and the existing rows use it, so both are swept.
case                      stride     nodes  mates  short
A_mate8_shallow                1    100000      0      0
A_mate8_shallow                1    300000      2      0
A_mate8_shallow                1    500000      2      0
A_mate8_shallow                1   1000000     15      1
A_mate8_shallow                1   1200000      8      0
A_mate8_shallow                1   1500000     18      0
A_mate8_shallow                1   2000000      9      0
A_mate8_shallow                1   3000000     10      5
A_mate8_shallow                1   4000000     11      0
A_mate8_shallow                2    100000      0      0
A_mate8_shallow                2    300000      0      0
A_mate8_shallow                2    500000      2      0
A_mate8_shallow                2   1000000      4      0
A_mate8_shallow                2   1200000      4      0
A_mate8_shallow                2   1500000      4      0
A_mate8_shallow                2   2000000      4      0
A_mate8_shallow                2   3000000      4      0
A_mate8_shallow                2   4000000      4      0
B_mate6_shallow                1    100000      0      0
B_mate6_shallow                1    300000     18      0
B_mate6_shallow                1    500000     18      0
B_mate6_shallow                1   1000000     23     11
B_mate6_shallow                1   1200000     27      0
B_mate6_shallow                1   1500000     45      3
B_mate6_shallow                1   2000000     32      0
B_mate6_shallow                1   3000000     39      0
B_mate6_shallow                1   4000000     45      0
B_mate6_shallow                2    100000      0      0
B_mate6_shallow                2    300000      1      0
B_mate6_shallow                2    500000      2      0
B_mate6_shallow                2   1000000      3      0
B_mate6_shallow                2   1200000     15      0
B_mate6_shallow                2   1500000     14      4
B_mate6_shallow                2   2000000     16      0
B_mate6_shallow                2   3000000     15      0
B_mate6_shallow                2   4000000     23      0
C_mate7_depth11                1    100000      0      0
C_mate7_depth11                1    300000      0      0
C_mate7_depth11                1    500000      0      0
C_mate7_depth11                1   1000000      1      0
C_mate7_depth11                1   1200000      0      0
C_mate7_depth11                1   1500000      0      0
C_mate7_depth11                1   2000000     22      0
C_mate7_depth11                1   3000000      0      0
C_mate7_depth11                1   4000000     25      0
C_mate7_depth11                2    100000      0      0
C_mate7_depth11                2    300000      0      0
C_mate7_depth11                2    500000      0      0
C_mate7_depth11                2   1000000      0      0
C_mate7_depth11                2   1200000      0      0
C_mate7_depth11                2   1500000      0      0
C_mate7_depth11                2   2000000      0      0
C_mate7_depth11                2   3000000      0      0
C_mate7_depth11                2   4000000      0      0
D_mate_minus6_depth10          1    100000      0      0
D_mate_minus6_depth10          1    300000      0      0
D_mate_minus6_depth10          1    500000      0      0
D_mate_minus6_depth10          1   1000000      0      0
D_mate_minus6_depth10          1   1200000      0      0
D_mate_minus6_depth10          1   1500000      3      1
D_mate_minus6_depth10          1   2000000      0      0
D_mate_minus6_depth10          1   3000000      0      0
D_mate_minus6_depth10          1   4000000      4      1
D_mate_minus6_depth10          2    100000      0      0
D_mate_minus6_depth10          2    300000      0      0
D_mate_minus6_depth10          2    500000      0      0
D_mate_minus6_depth10          2   1000000      0      0
D_mate_minus6_depth10          2   1200000      0      0
D_mate_minus6_depth10          2   1500000      0      0
D_mate_minus6_depth10          2   2000000      0      0
D_mate_minus6_depth10          2   3000000      0      0
D_mate_minus6_depth10          2   4000000      0      0
E_mate_minus9                  1    100000      0      0
E_mate_minus9                  1    300000      0      0
E_mate_minus9                  1    500000      0      0
E_mate_minus9                  1   1000000      4      1
E_mate_minus9                  1   1200000     19      0
E_mate_minus9                  1   1500000     13      0
E_mate_minus9                  1   2000000      2      0
E_mate_minus9                  1   3000000     18      0
E_mate_minus9                  1   4000000     20      2
E_mate_minus9                  2    100000      0      0
E_mate_minus9                  2    300000      0      0
E_mate_minus9                  2    500000      0      0
E_mate_minus9                  2   1000000      0      0
E_mate_minus9                  2   1200000      0      0
E_mate_minus9                  2   1500000      0      0
E_mate_minus9                  2   2000000      7      0
E_mate_minus9                  2   3000000      9      3
E_mate_minus9                  2   4000000     11      0
F_mate6_inherited_no_line       1    100000      4      0
F_mate6_inherited_no_line       1    300000     21      0
F_mate6_inherited_no_line       1    500000     22      0
F_mate6_inherited_no_line       1   1000000     31      0
F_mate6_inherited_no_line       1   1200000     28      0
F_mate6_inherited_no_line       1   1500000     29      0
F_mate6_inherited_no_line       1   2000000     32      0
F_mate6_inherited_no_line       1   3000000     39      0
F_mate6_inherited_no_line       1   4000000     39      0
F_mate6_inherited_no_line       2    100000      0      0
F_mate6_inherited_no_line       2    300000      4      0
F_mate6_inherited_no_line       2    500000     15      0
F_mate6_inherited_no_line       2   1000000     17      0
F_mate6_inherited_no_line       2   1200000     14      0
F_mate6_inherited_no_line       2   1500000     16      0
F_mate6_inherited_no_line       2   2000000     18      0
F_mate6_inherited_no_line       2   3000000     18      0
F_mate6_inherited_no_line       2   4000000     16      0
