# 194 of 11503 positions whose best move moved, .tuning/coord/f22_before -> .tuning/coord/f22_after
fen	before	after	score_before	score_after
3k4/1R6/3B4/3P4/2K5/8/8/2br4 b - - 10 80	c1h6	c1g5	score cp -228	score cp -220
8/3k4/8/3PB3/1b2K3/8/8/8 b - - 24 100	d7e7	b4a3	score cp -191	score cp -182
8/3kb3/8/1K1P4/8/6B1/8/8 b - - 44 110	e7f6	e7a3	score cp -199	score cp -196
1B6/3k4/8/3P4/2K4b/8/8/8 b - - 54 115	h4e7	h4f6	score cp -199	score cp -200
8/3kb3/8/3PB3/3K4/8/8/8 b - - 74 125	e7a3	e7f8	score cp -189	score cp -193
8/8/2N4p/4KP2/7P/4k3/2b5/8 b - - 0 61	c2d3	c2b3	score cp -244	score cp -234
8/8/8/8/6kp/8/8/7K b - - 9 67	g4h3	g4g3	score cp 299	score cp 282
8/4R3/8/3k4/8/7r/3K4/8 b - - 5 55	h3b3	h3f3	score cp 15	score cp 14
8/2R5/8/8/2k5/1r6/3K4/8 b - - 15 60	c4d5	c4d4	score cp 10	score cp 15
8/8/4k3/1K6/8/3R4/8/2r5 b - - 25 65	c1c8	c1c2	score cp 5	score cp 0
R3b3/8/8/6P1/5k2/4b2K/8/8 b - - 2 84	e8c6	e8d7	score cp 39	score cp 24
4r3/6k1/1R6/6p1/3K2P1/5P2/8/8 w - - 94 112	b6b5	f3f4	score cp 52	score cp 23
2r5/5R2/8/3K4/6k1/8/8/8 w - - 2 122	d5e4	d5e5	score cp 14	score cp 14
1R6/8/5k2/8/2r4P/5p1K/8/8 b - - 1 55	c4c3	f6g7	score cp -14	score cp 0
8/2K5/8/5p2/1k6/5B2/4P2p/8 b - - 0 63	b4c5	b4c3	score cp -155	score cp -136
8/8/4K3/2p1Q3/2k1P3/8/8/1q6 b - - 3 84	b1g1	b1d3	score cp -38	score cp -5
8/8/8/1K1QP3/8/q7/1k6/8 b - - 20 99	a3e3	a3h3	score cp -195	score cp -224
8/1B6/7b/4k2P/8/3KP3/8/8 w - - 45 123	b7c8	b7g2	score cp 326	score cp 330
8/8/2B5/4k2P/8/3K4/8/2b5 w - - 6 198	d3c4	c6h1	score cp 186	score cp 184
8/2k5/6R1/r7/3K4/8/8/8 b - - 3 88	a5a2	a5b5	score cp -10	score cp -14
8/8/1K1N4/3q4/1k1p4/8/8/4Q3 b - - 12 69	b4a4	b4b3	score cp -203	score cp -202
8/8/1K6/1N4Q1/8/4kq2/3p4/8 b - - 5 84	e3d3	f3f4	score cp -59	score cp -79
8/8/8/4kP1R/8/4K2p/8/7r b - - 2 73	h1e1	h3h2	score cp 36	score cp 27
8/8/4n3/4kp2/8/4P3/3N1K2/8 b - - 16 98	e6c7	e6c5	score cp 26	score cp 48
2r5/7k/R6P/8/p7/8/1KP5/8 w - - 7 55	c2c3	a6a4	score cp 171	score cp 167
4R3/8/8/3k4/8/r7/5K2/8 w - - 7 112	e8e7	f2e2	score cp -18	score cp -18
8/8/8/1P6/3k4/3p1K2/4r3/6R1 w - - 1 48	g1g7	b5b6	score cp -44	score cp -37
8/8/4K1n1/8/5rk1/1R6/8/8 b - - 9 54	f4c4	f4e4	score cp 363	score cp 361
8/R7/8/8/3K1nk1/8/4r3/8 b - - 19 59	e2e1	g4f3	score cp 360	score cp 350
8/6R1/8/5k2/6n1/2K5/6r1/8 b - - 49 74	f5e4	f5e5	score cp 368	score cp 362
8/4R3/2K2n2/5k2/8/8/3r4/8 b - - 59 79	f6e4	d2c2	score cp 382	score cp 375
7R/8/8/1K1nk3/8/8/2r5/8 b - - 69 84	d5c7	d5c3	score cp 381	score cp 380
6k1/5r2/7p/R7/4K1P1/8/8/8 b - - 8 110	g8g7	f7c7	score cp -21	score cp -29
