# S222 phase-three census: the one-ply continuation table's use on the FITTED
# build, taken so the shares stand beside S024's 97.56 / 96.19 / 27.14 %, with
# a same-tree control at the incumbent vector so the movement is attributed
# rather than explained.
#
# WHAT THIS IS. `adocs/data/S024_census_run.py run <engine>` over the same 400
# positions of `adocs/data/S024_census_positions.txt` -- one per game from
# `adocs/data/S219_aa_calibration.pgn`, `random.Random(24)` shuffle, each
# game's own midpoint ply -- at depth 10, Hash 16, `ucinewgame` between
# positions, driven through one persistent UCI process. The script is S024's
# unchanged; only the binary under it is new.
#
# THE BINARY. S222's fitted `src/search_params.hpp` -- the SPSA lane of
# 2026-09-14, `adocs/data/S222_spsa_trajectory.tsv` -- with S024's five
# throwaway counters patched back in. Built in a detached worktree at
# `bdd82cc` (S222 phase two's tree) with the fitted header copied in and the
# five counters added; `cmake -DCMAKE_BUILD_TYPE=Release`, its own `build/`,
# the real tree's never touched, the worktree removed after the run. The
# instrumentation is not in the shipping engine and never was: an
# `info string cont_hist_census` line is not on the UCI surface
# `tests/test_uci_surface.cpp` guards. The exact diff is at the bottom of this
# file, so the run is reproducible without it having to exist in the tree.
#
# THE CONTROL, AND WHY IT IS HERE. Held against S024 alone the non-zero share
# fell eight points, and the obvious reading -- that the fitted scale writes a
# thinner table -- is an argument and not a measurement. So the same
# instrumented binary was rebuilt with `bdd82cc`'s own incumbent
# `search_params.hpp` and the same 400 positions re-run, which separates the
# vector from the tree: S109's pruning block and S091's capture rules landed
# between S024's census and this one, and the tree here is a third of the size
# (30.5 M nodes against 112.6 M over the same positions). Both summaries are
# below. **The fit is not what moved it**: at the incumbent vector on this tree
# the non-zero share is 18.94 %, at the fitted vector 19.15 %, so the fitted
# vector reads a non-zero entry slightly **more** often, by 0.21 points, and
# the whole of the eight-point fall belongs to the smaller tree.
#
# THE READING, beside S024's. Writes that have a previous move to index
# 96.62 % against 97.56 %; quiet `score_move()` evaluations that consult the
# continuation term 95.15 % against 96.19 %; of those, the share reading a
# non-zero entry 19.15 % against 27.14 %, of which none is the fit's doing per
# the control above. The first two are the same profile S024 measured and the
# small remainder is still exactly the root ply and the node after a null
# move; the per-position spread is 2.04 % to 38.88 %, median 17.12 %, so no
# handful of positions carries the average. What this census can say is what
# S024's said: the table is consulted on nearly every quiet score and returns
# a real number on a substantial share of those, so a verdict on the fitted
# vector is not a verdict on inert wiring. It is not a strength measurement
# and nothing here reads it as one (DEC-019); `adocs/data/S222_sprt.sh`
# decides the step.
#
# SUMMARY, FITTED VECTOR, as the script printed it:
#
#   positions: 400
#   total nodes: 30474552
#   wall time: 9.2 s
#   writes_total: 1004818  writes_with_prev: 970896  share: 96.6241%
#   reads_total: 60674017  reads_with_prev: 57733854  share: 95.1542%
#   reads_nonzero: 11055397  of reads_with_prev: 57733854  share: 19.1489%
#   per-position reads_nonzero/reads_with_prev share: min 2.0426%  median 17.1180%  max 38.8845%
#
#   S024-CENSUS-DONE
#
# SUMMARY, INCUMBENT VECTOR, same binary rebuilt with `bdd82cc`'s own
# `src/search_params.hpp`, same 400 positions, same depth and hash:
#
#   positions: 400
#   total nodes: 30507851
#   wall time: 9.2 s
#   writes_total: 997285  writes_with_prev: 963962  share: 96.6586%
#   reads_total: 60176212  reads_with_prev: 57253220  share: 95.1426%
#   reads_nonzero: 10845052  of reads_with_prev: 57253220  share: 18.9423%
#   per-position reads_nonzero/reads_with_prev share: min 2.2590%  median 17.0027%  max 37.8323%
#
#   S024-CENSUS-DONE
#
# Rows of the FITTED run, one per position, from the S024 script above:
#   ~/.venv/chess/bin/python adocs/data/S024_census_run.py run <engine>
# One row per adocs/data/S024_census_positions.txt entry, depth 10, Hash 16 MB, ucinewgame between positions.
# writes = calls of history_on_quiet_cutoff(); writes_with_prev = those with prev_move != 0.
# reads = quiet-move score_move() evaluations; reads_with_prev = those where the continuation term is consulted; reads_nonzero = those where it is non-zero.
idx	game_index	ply	fen	nodes	elapsed_s	writes_total	writes_with_prev	reads_total	reads_with_prev	reads_nonzero
1	72	64	3r2k1/5pb1/7p/p4B1P/2r3P1/8/1P1n1B2/1R2R1K1 w - - 3 36	79581	0.021732330322265625	1573	1496	140480	132303	18382
2	496	143	8/8/6k1/4R3/4P1P1/5K2/8/6r1 b - - 32 75	49443	0.010356426239013672	4855	4749	102188	99663	27915
3	271	53	8/5pkp/B1p1p1p1/B1p5/P3P3/6PP/nb3P2/6K1 b - - 0 30	67446	0.0143890380859375	3393	3240	125040	119839	26348
4	715	47	2r4r/1kpnb1p1/p3p2p/Pp1bPp2/3P1P2/3NB2P/1P2BKP1/R4R2 b - - 6 27	45614	0.014754772186279297	2091	2002	125280	115640	17223
5	547	28	r3r1k1/1bq2ppp/1npb1n2/1p2p3/1P1PP3/1QNB1N1P/3B1PP1/R4RK1 w - - 0 18	89048	0.029649019241333008	262	256	147872	137080	2800
6	278	76	2b5/2r1k3/p3p1pp/P7/1p1R3P/1P3B2/5KP1/8 w - - 0 42	75984	0.016907930374145508	2985	2938	129232	123076	31439
7	35	64	6k1/b7/2r1p3/1p3p2/6p1/P7/2P1KPP1/3R4 w - - 0 36	11334	0.002347230911254883	422	407	15793	13299	1592
8	848	48	6k1/1p1b1pb1/1r1p2p1/3Pp2p/1B1p4/3P1BP1/2P2PKP/1R6 w - - 2 28	77641	0.01788043975830078	2917	2790	134452	127419	29534
9	477	42	r3r1k1/1q1nbpp1/2p1p1p1/p1P3P1/Pp1PQP2/1P4RN/1B5P/4R1K1 w - - 3 25	23883	0.007061004638671875	1102	1075	71065	64456	6668
10	627	53	1rr3k1/R4p2/R1bbp1pp/3p4/1p1P4/3BP1P1/2P2PP1/2N3K1 b - - 5 30	44213	0.01224827766418457	1372	1272	92513	86347	11651
11	494	92	6k1/1R4p1/5pp1/1p3b2/3B1P1P/1r4P1/5K2/8 w - - 2 50	37887	0.008486270904541016	2256	2170	73932	69898	11882
12	308	38	4qrk1/1pp3pp/1b2p3/n3P3/5r2/PQ3N2/1B3PPP/2RR3K w - - 5 23	86423	0.026400089263916016	2340	2238	206417	197035	30893
13	125	67	4r3/5k2/7p/p3Pp2/P1p2K2/2p1P3/2P4P/R7 b - - 1 37	31230	0.005791187286376953	1379	1325	44342	41621	8618
14	832	26	r5kr/1pq1np1p/2b1p1p1/pp2R3/3P4/P4NP1/2P2PBP/R2Q2K1 w - - 3 17	156807	0.0440673828125	3975	3741	313914	299274	61408
15	883	46	rr4k1/4n1p1/1pp1pp1p/p2qP1nP/P1NP2PB/5N2/1PQ2PK1/4R3 w - - 2 27	54308	0.01397848129272461	893	876	86709	77702	4645
16	895	70	6k1/2R2p1p/b3r3/1p1p4/3P1P1P/4P3/5K2/4B3 w - - 4 39	67538	0.014204263687133789	3336	3242	115142	109997	34013
17	383	33	r3brk1/1q2b1pp/p2p1n2/1ppP1p2/4pP2/PBN4P/1PP1QPP1/R1B1R1K1 b - - 2 20	112814	0.031106948852539062	2810	2733	220823	211193	45861
18	641	67	2rr4/7k/p5pp/2P1R3/1b6/6NP/2R2PP1/6K1 b - - 0 37	76311	0.020124435424804688	5113	4914	226161	216957	62094
19	885	91	8/6pk/8/p3n3/4rR2/P5Pp/7P/6BK b - - 21 49	45173	0.009934186935424805	2456	2398	66172	63346	15366
20	964	65	4r1k1/1b3pp1/4p2p/qp1p2P1/3P1P2/P3PQ1P/2r3BK/R2R4 b - - 0 36	62422	0.018593311309814453	1854	1755	145414	135789	16670
21	109	85	8/5p2/R7/Pp3kpp/2r4P/4P1K1/6P1/8 b - - 0 46	47534	0.008692502975463867	2705	2645	61703	58950	19952
22	724	47	5r1k/p6p/1pbrn2q/3p1p2/1Bp2P1P/PP3RP1/8/R2Q1BK1 b - - 1 27	59585	0.0157012939453125	1012	948	96497	89392	7489
23	22	76	8/8/4Rpkp/1pP5/pr6/4BK2/7P/8 w - - 0 42	89577	0.018722057342529297	5311	5178	143233	138395	35042
