k	pairs	c_scale	r_k	y	wins	losses	draws	ptnml	ContHistBonus	ContHistMalus	ContHistWeight	QuietHistoryMax	HistoryBonusQuad	HistoryBonusLin	HistoryBonusConst	HistoryMalusQuad	HistoryMalusLin	HistoryMalusConst	HistPruneCoeff
0	24	2.054887	0.003993184	6	18	12	18	1/5/8/7/3	15	15	25	8217	1	0	0	1	0	0	578
1	48	1.915949	0.0045715199	-11	12	23	13	5/7/8/2/2	15	15	26	8168	1	0	1	1	1	0	574
2	72	1.839072	0.0049383343	-8	15	23	10	7/3/8/3/3	15	15	26	8205	1	0	2	1	1	0	572
3	96	1.786405	0.0052093496	3	18	15	15	1/5/11/4/3	15	15	26	8191	1	0	2	1	0	0	571
4	120	1.746594	0.0054242592	-4	12	16	20	2/9/8/1/4	15	15	26	8171	1	1	1	1	1	0	570
5	144	1.714726	0.0056018519	2	18	16	14	2/4/10/6/2	15	15	26	8181	1	1	1	1	1	0	571
6	168	1.688235	0.0057526333	-35	2	37	9	16/4/3/1/0	14	15	24	8355	1	3	4	1	4	3	582
7	192	1.665620	0.0058831224	-29	6	35	7	14/3/5/2/0	15	15	23	8210	2	6	6	1	6	0	591
8	216	1.645923	0.0059976662	6	20	14	14	3/3/7/7/4	15	15	23	8240	2	6	6	1	6	0	593
9	240	1.628501	0.0060993206	35	39	4	5	0/1/3/4/16	14	16	25	8418	2	9	9	0	9	3	581
10	264	1.612899	0.0061903227	-28	3	31	14	10/8/6/0/0	15	16	26	8275	2	11	11	1	11	0	590
11	288	1.598787	0.0062723636	1	15	14	19	1/6/9/7/1	15	16	26	8270	2	11	11	1	11	0	591
12	312	1.585914	0.0063467551	17	25	8	15	0/3/8/6/7	15	17	27	8182	2	13	12	1	13	2	596
13	336	1.574088	0.0064145375	6	23	17	8	1/6/9/2/6	15	17	27	8213	2	12	12	1	13	2	598
14	360	1.563157	0.0064765504	-1	15	16	17	3/6/6/7/2	15	17	27	8218	2	12	12	1	13	2	598
15	384	1.553001	0.0065334824	10	23	13	12	1/5/7/5/6	15	17	26	8270	2	13	13	1	12	3	602
16	408	1.543521	0.0065859055	11	23	12	13	1/4/7/7/5	15	17	26	8328	2	12	14	1	13	4	605
17	432	1.534636	0.0066343006	19	30	11	7	1/1/9/4/9	16	17	27	8229	2	14	12	1	15	6	611
18	456	1.526279	0.0066790762	4	22	18	8	3/1/13/3/4	16	17	27	8208	2	14	12	1	15	5	610
19	480	1.518392	0.0067205825	-15	10	25	13	7/7/6/2/2	16	17	26	8129	2	15	13	1	16	6	605
20	504	1.510928	0.0067591218	-4	15	19	14	3/6/8/6/1	16	17	26	8150	2	16	13	1	17	7	604
21	528	1.503845	0.0067949574	2	18	16	14	3/2/12/4/3	16	17	26	8161	2	16	13	1	17	7	603
22	552	1.497109	0.00682832	-2	17	19	12	3/6/8/4/3	16	17	26	8150	2	16	13	1	17	7	603
23	576	1.490687	0.0068594127	-5	15	20	13	6/1/10/6/1	16	17	25	8176	2	16	14	1	17	7	601
24	600	1.484554	0.0068884155	2	18	16	14	4/5/5/5/5	16	17	25	8187	2	16	13	1	17	7	602
25	624	1.478685	0.0069154889	2	18	16	14	1/6/10/4/3	16	17	26	8197	2	16	13	1	17	7	602
26	648	1.473059	0.0069407761	-2	18	20	10	4/5/7/5/3	16	17	25	8187	2	16	13	1	17	7	602
27	672	1.467658	0.0069644059	-3	16	19	13	2/7/9/4/2	16	17	25	8203	2	16	13	1	18	7	601
28	696	1.462466	0.0069864944	-11	13	24	11	6/5/8/4/1	16	16	25	8260	2	15	14	1	19	7	597
29	720	1.457467	0.0070071466	0	17	17	14	3/4/9/6/2	16	16	25	8260	2	15	14	1	19	7	597
30	744	1.452648	0.0070264579	11	26	15	7	1/2/12/3/6	17	16	25	8318	2	15	13	1	18	7	601
31	768	1.447997	0.007044515	8	22	14	12	2/4/7/6/5	16	16	25	8276	2	15	14	1	17	7	598
32	792	1.443504	0.0070613972	1	19	18	11	2/8/6/3/5	16	16	25	8281	2	15	14	1	17	7	598
33	816	1.439158	0.0070771771	4	19	15	14	2/3/11/5/3	16	17	25	8260	2	15	14	1	17	6	597
34	840	1.434951	0.0070919213	-6	13	19	16	3/8/8/2/3	17	16	25	8291	2	14	14	1	16	7	595
35	864	1.430874	0.0071056911	-9	13	22	13	6/5/7/4/2	17	16	26	8245	2	14	14	1	17	6	592
36	888	1.426920	0.0071185428	-6	17	23	8	6/2/9/6/1	17	16	26	8276	2	13	15	1	17	6	594
37	912	1.423081	0.0071305289	12	25	13	10	3/2/6/6/7	17	17	26	8338	2	12	16	1	17	7	598
38	936	1.419353	0.0071416974	7	21	14	13	0/4/12/5/3	17	16	26	8302	2	13	15	1	17	7	596
39	960	1.415728	0.0071520934	-7	14	21	13	4/5/10/4/1	17	17	26	8266	2	12	15	1	18	8	593
40	984	1.412202	0.0071617583	7	21	14	13	2/3/8/8/3	17	17	26	8302	2	13	15	1	18	7	591
41	1008	1.408769	0.0071707311	4	19	15	14	1/6/10/2/5	17	17	27	8322	2	13	16	1	18	8	590
42	1032	1.405425	0.0071790476	0	17	17	14	4/4/8/4/4	17	17	27	8322	2	13	16	1	18	8	590
43	1056	1.402165	0.0071867417	6	21	15	12	3/2/9/6/4	17	17	27	8292	2	13	15	1	18	7	592
44	1080	1.398986	0.0071938449	-5	16	21	11	4/4/11/3/2	17	16	27	8317	2	12	16	1	19	7	593
45	1104	1.395884	0.0072003866	-3	17	20	11	1/7/11/4/1	17	16	27	8333	2	12	16	1	19	6	593
46	1128	1.392855	0.0072063945	8	22	14	12	1/5/8/5/5	17	17	27	8374	2	12	15	1	18	7	595
47	1152	1.389897	0.0072118946	-5	13	18	17	0/10/10/3/1	17	17	27	8348	2	12	15	1	19	7	597
48	1176	1.387005	0.0072169111	2	19	17	12	2/3/12/5/2	17	17	27	8338	2	12	15	1	19	8	597
49	1200	1.384178	0.007221467	12	24	12	12	1/3/9/5/6	17	17	28	8276	2	13	16	1	20	9	601
50	1224	1.381412	0.0072255838	-2	14	16	18	3/4/10/6/1	17	17	28	8266	3	13	16	1	20	8	602
51	1248	1.378706	0.0072292819	7	19	12	17	1/3/11/6/3	18	17	27	8231	2	13	16	1	19	9	600
52	1272	1.376056	0.0072325805	2	20	18	10	2/5/9/5/3	17	17	27	8241	2	13	16	1	19	9	600
53	1296	1.373460	0.0072354977	7	23	16	9	1/6/8/3/6	18	17	28	8205	2	12	17	1	19	9	598
54	1320	1.370917	0.0072380505	-2	15	17	16	2/5/12/3/2	18	16	28	8215	2	12	17	1	19	9	597
55	1344	1.368425	0.0072402552	1	14	13	21	1/5/12/4/2	18	16	28	8210	2	12	16	1	19	9	597
56	1368	1.365981	0.007242127	4	20	16	12	2/4/9/6/3	18	16	28	8230	2	12	16	1	18	9	598
57	1392	1.363583	0.0072436806	-3	15	18	15	4/3/11/4/2	18	16	28	8215	2	12	16	1	18	9	597
58	1416	1.361231	0.0072449296	10	22	12	14	1/4/9/4/6	17	16	27	8165	3	12	17	1	19	9	601
59	1440	1.358922	0.0072458871	8	20	12	16	0/4/12/4/4	17	16	28	8124	3	13	16	1	19	10	603
60	1464	1.356656	0.0072465656	-3	16	19	13	2/6/10/5/1	17	16	27	8140	3	13	16	1	19	10	604
61	1488	1.354429	0.0072469767	-10	12	22	14	4/8/7/4/1	17	16	28	8190	3	14	15	1	18	11	601
62	1512	1.352242	0.0072471318	1	19	18	11	2/5/9/6/2	17	16	28	8195	3	14	15	1	18	10	601
63	1536	1.350093	0.0072470414	-2	16	18	14	4/4/9/4/3	17	16	28	8185	3	13	15	1	18	11	601
64	1560	1.347981	0.0072467157	2	17	15	16	1/6/9/6/2	17	16	28	8195	3	14	15	1	18	11	600
65	1584	1.345904	0.0072461644	-3	15	18	15	4/4/9/5/2	17	16	28	8210	3	14	15	1	18	11	599
66	1608	1.343861	0.0072453966	-8	12	20	16	4/7/7/5/1	17	16	28	8170	3	14	14	1	18	10	596
67	1632	1.341852	0.0072444212	-4	17	21	10	2/5/13/3/1	17	16	28	8190	3	14	14	1	17	10	598
68	1656	1.339875	0.0072432465	-7	15	22	11	4/3/14/2/1	17	16	28	8155	3	14	13	1	17	11	600
69	1680	1.337929	0.0072418806	6	19	13	16	1/7/5/7/4	17	16	28	8125	3	14	13	1	17	11	598
70	1704	1.336013	0.0072403311	-4	15	19	14	3/6/9/4/2	17	16	28	8145	3	14	12	1	17	11	597
71	1728	1.334127	0.0072386052	-4	15	19	14	5/4/7/6/2	17	16	28	8125	3	13	12	1	17	12	596
72	1752	1.332270	0.0072367099	-1	18	19	11	2/4/12/5/1	17	16	28	8130	3	13	12	1	17	12	596
73	1776	1.330441	0.007234652	-3	18	21	9	4/4/9/5/2	17	16	28	8145	3	13	12	1	17	12	597
74	1800	1.328638	0.0072324379	-5	15	20	13	4/6/8/3/3	17	16	28	8120	3	13	13	2	18	11	598
75	1824	1.326862	0.0072300735	13	26	13	9	0/4/9/5/6	17	16	28	8057	3	14	12	1	17	10	594
76	1848	1.325111	0.0072275648	5	21	16	11	1/4/12/3/4	16	16	28	8032	3	14	11	1	16	11	593
77	1872	1.323385	0.0072249174	-4	15	19	14	3/6/9/4/2	17	16	28	8052	3	14	11	1	17	11	594
78	1896	1.321684	0.0072221367	-6	12	18	18	2/8/8/6/0	16	16	28	8081	3	14	10	1	17	10	596
79	1920	1.320006	0.0072192278	-7	13	20	15	4/5/9/6/0	17	16	28	8115	3	15	11	1	18	10	598
80	1944	1.318351	0.0072161957	3	17	14	17	3/4/5/11/1	16	16	28	8130	3	15	11	1	17	9	599
81	1968	1.316718	0.007213045	0	17	17	14	2/5/10/5/2	16	16	28	8130	3	15	11	1	17	9	599
82	1992	1.315107	0.0072097805	3	18	15	15	3/2/10/7/2	17	16	28	8144	3	15	11	1	18	10	598
83	2016	1.313517	0.0072064063	-2	16	18	14	3/3/13/3/2	17	16	28	8135	3	15	11	1	18	10	597
84	2040	1.311948	0.0072029268	4	22	18	8	1/3/14/3/3	17	16	28	8154	3	15	12	1	18	10	596
85	2064	1.310399	0.0071993459	-8	15	23	10	3/6/12/2/1	16	16	29	8115	3	15	11	1	17	9	594
86	2088	1.308870	0.0071956676	-4	14	18	16	2/7/8/7/0	17	16	29	8096	3	15	11	1	18	10	593
87	2112	1.307360	0.0071918956	0	19	19	10	3/6/8/2/5	17	16	29	8096	3	15	11	1	18	10	593
88	2136	1.305869	0.0071880333	3	18	15	15	2/6/7/5/4	17	16	29	8082	3	15	12	1	17	10	593
89	2160	1.304396	0.0071840844	-6	13	19	16	5/6/5/6/2	17	16	29	8110	3	15	11	1	18	10	595
90	2184	1.302941	0.0071800521	-1	15	16	17	3/5/8/6/2	17	16	29	8106	3	15	11	1	18	10	595
91	2208	1.301504	0.0071759396	8	21	13	14	2/4/8/4/6	17	16	29	8144	3	15	11	1	17	9	593
92	2232	1.300083	0.00717175	15	23	8	17	0/2/8/11/3	16	16	28	8215	3	16	12	1	18	11	588
93	2256	1.298680	0.0071674861	11	22	11	15	2/4/4/9/5	17	16	28	8268	3	17	11	1	19	11	591
94	2280	1.297292	0.007163151	0	17	17	14	3/5/8/5/3	17	16	28	8268	3	17	11	1	19	11	591
95	2304	1.295921	0.0071587473	-2	16	18	14	3/6/8/4/3	16	16	28	8277	3	17	11	1	19	12	592
96	2328	1.294565	0.0071542777	-4	17	21	10	3/7/9/1/4	17	16	28	8296	3	17	11	1	19	11	593
97	2352	1.293225	0.0071497447	1	17	16	15	4/2/9/7/2	17	16	28	8301	3	17	11	1	19	11	593
98	2376	1.291900	0.0071451507	-5	15	20	13	6/3/6/8/1	16	16	28	8325	3	17	11	1	19	12	595
99	2400	1.290589	0.0071404983	-7	15	22	11	5/5/8/4/2	16	16	27	8358	3	17	10	1	19	11	593
100	2424	1.289292	0.0071357895	-1	17	18	13	3/5/8/6/2	16	16	27	8353	3	17	10	1	19	11	593
101	2448	1.288010	0.0071310267	1	19	18	11	2/5/10/4/3	16	16	27	8348	3	17	10	1	19	11	593
102	2472	1.286742	0.0071262119	-4	14	18	16	2/6/10/6/0	16	16	28	8330	3	17	10	1	19	11	592
103	2496	1.285487	0.0071213473	-7	10	17	21	5/5/6/8/0	16	16	27	8362	3	16	10	1	18	12	590
104	2520	1.284245	0.0071164348	0	17	17	14	4/4/7/6/3	16	16	27	8362	3	16	10	1	18	12	590
105	2544	1.283016	0.0071114763	-3	15	18	15	2/7/9/4/2	16	16	27	8348	3	16	10	1	18	12	590
106	2568	1.281800	0.0071064736	-5	16	21	11	5/5/6/6/2	16	16	27	8372	3	16	10	1	18	12	592
107	2592	1.280596	0.0071014286	4	22	18	8	3/3/10/3/5	16	16	27	8353	3	16	10	1	18	12	591
108	2616	1.279404	0.007096343	-18	8	26	14	6/8/8/2/0	17	16	26	8269	3	15	9	1	19	14	586
109	2640	1.278225	0.0070912184	1	16	15	17	4/2/8/9/1	17	16	26	8274	3	15	9	1	19	14	586
110	2664	1.277057	0.0070860565	1	18	17	13	5/2/9/3/5	17	16	26	8269	3	15	9	1	19	14	586
111	2688	1.275901	0.0070808587	4	18	14	16	1/4/11/6/2	17	16	26	8288	3	16	9	1	19	14	585
112	2712	1.274756	0.0070756267	-10	11	21	16	5/9/4/3/3	17	16	26	8334	3	15	8	1	19	15	588
113	2736	1.273622	0.0070703618	17	25	8	15	0/3/6/10/5	17	15	26	8412	4	14	7	1	20	16	583
114	2760	1.272499	0.0070650654	2	19	17	12	1/6/10/4/3	17	15	26	8403	4	13	7	1	20	16	582
115	2784	1.271387	0.007059739	1	17	16	15	1/7/8/6/2	17	15	26	8399	4	14	7	1	20	16	582
116	2808	1.270285	0.0070543838	-15	9	24	15	7/5/8/4/0	17	16	26	8467	3	15	6	1	21	15	586
117	2832	1.269193	0.0070490012	4	20	16	12	2/3/12/3/4	17	16	26	8449	3	15	5	1	21	15	588
118	2856	1.268112	0.0070435922	10	24	14	10	0/5/9/5/5	17	16	25	8495	4	14	5	1	21	15	585
119	2880	1.267041	0.0070381582	-14	10	24	14	6/6/9/2/1	17	16	26	8559	3	15	6	1	20	16	589
120	2904	1.265979	0.0070327002	-16	8	24	16	7/7/6/3/1	17	16	25	8486	4	16	5	1	18	18	593
121	2928	1.264927	0.0070272194	-2	19	21	8	5/4/7/4/4	17	16	25	8477	4	16	4	1	19	18	593
122	2952	1.263885	0.0070217169	9	25	16	7	2/3/9/4/6	17	16	25	8518	4	16	4	1	19	17	590
123	2976	1.262852	0.0070161936	-9	10	19	19	3/8/9/3/1	17	16	24	8558	4	16	3	1	19	18	593
