# S230 candidates for the capture mate row that separates R01.
# Regenerate: adocs/data/S230_mine_r01_row.py pool / label / line / join.
# distance, pv and nodes are stockfish through python-chess, one
# fresh process per position; depths_found is the engine's own
# search_fen() profile over the swept range.
fen	mate_in	nodes	pv_uci	pv_san	captures_on_line	depths_found
1Rb2bkr/8/4NpPp/3p4/p7/6B1/6PK/8 w - - 4 44	2	1138	b8c8 a4a3 c8f8	Rxc8 a3 Rxf8#	Rxf8#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
2r2q1r/pp1k1B2/3p1p1p/5P2/2Q3b1/P5Pp/1P5P/2R1R1K1 w - - 3 27	2	1736	c4e6 d7d8 c1c8	Qe6+ Kd8 Rxc8#	Rxc8#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
4r1k1/1p2R3/pqpp3p/2n2Q2/8/P1N4P/1P3PP1/6K1 w - - 1 25	2	1800	f5g6 g8f8 e7e8	Qg6+ Kf8 Rxe8#	Rxe8#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
4r1k1/p4p1p/2p2p2/2N5/1PB5/5q1P/1PPr1P1K/RQ2R3 b - - 0 25	2	1676	f3f2 h2h1 f2g2	Qxf2+ Kh1 Qg2#	Qxf2+	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
6k1/1R3p2/7p/2b1B1nP/Q1P1P2K/P4P2/1P6/6q1 b - - 3 39	2	1189	c5f2 e5g3 g1g3	Bf2+ Bg3 Qxg3#	Qxg3#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
6k1/4n1p1/p6p/4P3/PpP1P1P1/1P1q4/3r3P/2R4K b - - 0 43	2	1317	d3e4 h1g1 e4g2	Qxe4+ Kg1 Qg2#	Qxe4+	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
8/1kp5/1p2P3/3p1p2/3P3P/2P5/r6P/5qQK b - - 1 52	2	1317	f1f3 g1g2 f3g2	Qf3+ Qg2 Qxg2#	Qxg2#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
r1q1k3/pb1p1pQ1/1p1P2nB/n6p/1P4pP/2N5/P1B2PP1/R5K1 w - - 1 25	2	1508	g7g8 g6f8 g8f8	Qg8+ Nf8 Qxf8#	Qxf8#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
r2r3k/1q5p/1pp1pp1Q/3P4/5R2/2P3RP/P4PP1/6K1 w - - 0 28	2	1411	h6f6 b7g7 f6g7	Qxf6+ Qg7 Qxg7#	Qxf6+ Qxg7#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
1Q6/pp3pk1/5b2/2P3p1/8/P5Pb/2p2P1P/5NK1 b - - 0 35	3	3159	c2c1q b8f8 g7f8 f2f3 c1f1	c1=Q Qf8+ Kxf8 f3 Qxf1#	Qxf1#	d4 d5 d6 d7 d8 d9 d10 d11 d12
1r6/5pk1/p2pp1p1/Q2B2n1/8/2P1P1q1/1PR3Pr/R5K1 b - - 4 31	3	4987	g3e3 c2f2 b8h8 d5a8 h2h1	Qxe3+ Rf2 Rbh8 Ba8 Rh1#	Qxe3+	d11 d12
3r2k1/1bp4p/1p4rQ/p2pNp2/3P4/PqP3R1/1P3PPP/4R1K1 w - - 1 32	3	2921	g3g6 h7g6 h6g6 g8h8 e5f7	Rxg6+ hxg6 Qxg6+ Kh8 Nf7#	Rxg6+ Qxg6+	d5 d6 d7 d8 d9 d10 d11 d12
3r2k1/p3Q1p1/2p1p1rp/8/3P1P2/5P2/PP1K3P/R2R2q1 b - - 8 31	3	2918	g1d4 d2e2 g6g2 e2f1 d4g1	Qxd4+ Ke2 Rg2+ Kf1 Qg1#	Qxd4+	d5 d6 d7 d8 d9 d10 d11 d12
4Q3/1R4pk/4Pp1p/8/8/2B3P1/r4b1P/5K2 w - - 1 45	3	3514	b7g7 h7g7 e8f7 g7h8 c3f6	Rxg7+ Kxg7 Qf7+ Kh8 Bxf6#	Rxg7+ Bxf6#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
4r2k/1p4rp/p1p3q1/P3b3/4p3/1QPnB2P/1P2n1B1/R5RK b - - 1 31	3	11741	g6g3 b3g8 g7g8 g1b1 g3g2	Qg3 Qg8+ Rgxg8 Rgb1 Qxg2#	Qxg2#	d5 d6 d7 d8 d9 d10 d11 d12
5b1r/pp2pppp/k4n2/2Q5/q7/4B2P/PPP2PP1/3R2K1 w - - 1 20	3	3151	c5a7 a6b5 a7b6 b5c4 d1d4	Qxa7+ Kb5 Qb6+ Kc4 Rd4#	Qxa7+	d5 d6 d7 d8 d9 d10 d11 d12
7k/5r2/p1p5/8/P3Q1R1/5pPK/7P/8 w - - 3 49	3	3144	e4e5 f7f6 e5f6 h8h7 f6h4	Qe5+ Rf6 Qxf6+ Kh7 Qh4#	Qxf6+	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
8/1p3pk1/p4Qp1/2q5/8/P2p1P1b/1Pr1n1PP/3RRK2 b - - 4 37	3	1640	g7f6 e1e2 d3e2 f1e1 c5g1	Kxf6 Rxe2 dxe2+ Ke1 Qg1#	dxe2+	d5 d6 d7 d8 d9 d10 d11 d12
8/6kp/p3P1p1/3pP3/7K/3n1qN1/7P/8 b - - 1 43	4	9395	d3f2 g3f5 g6f5 h2h3 f3h3 h4g5 h3g4	Nf2 Nf5+ gxf5 h3 Qxh3+ Kg5 Qg4#	Qxh3+	d7 d8 d9 d10 d11 d12
8/6p1/P1p1pPk1/P2p4/7Q/2P2R2/qr4PK/8 w - - 1 38	3	4214	h4g4 g6f7 g4g7 f7e8 g7e7	Qg4+ Kf7 Qxg7+ Ke8 Qe7#	Qxg7+	d5 d6 d7 d8 d9 d10 d11 d12
k2r4/Pq4p1/4p3/Q1ppP2r/3P3p/1R3b1P/5BP1/1R4K1 w - - 1 37	3	3547	a5d8 b7c8 d8c8 a8a7 c8b7	Qxd8+ Qc8 Qxc8+ Kxa7 Qb7#	Qxd8+	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
r2r1n1k/2q2p1N/p3pNpQ/2p1P3/PpR5/7P/1P3Bb1/R6K w - - 0 29	3	3880	h1g1 d8d1 a1d1 c7b7 h7f8	Kg1 Rd1+ Rxd1 Qb7 Nxf8#	Nxf8#	d6 d7 d8 d9 d10 d11 d12
r4k2/p1n2Np1/2p1P1Q1/1p1p2p1/1P1N4/P7/2P2RP1/6K1 w - - 1 33	3	5026	f7g5 f8e7 g6g7 e7d6 d4f5	Nxg5+ Ke7 Qxg7+ Kd6 Nf5#	Nxg5+ Qxg7+	d5 d6 d7 d8 d9 d10 d11 d12
r4rk1/7p/p1Nppp1B/1p6/2p1P1b1/P5Q1/1P3PP1/3R2K1 w - - 2 30	3	3118	g3g4 g8f7 g4g7 f7e8 g7e7	Qxg4+ Kf7 Qg7+ Ke8 Qe7#	Qxg4+	d5 d6 d7 d8 d9 d10 d11 d12
r5kr/1p1b4/p2QpBB1/8/3P3P/2P5/6K1/1R6 w - - 3 38	3	6769	d6d7 h8h7 g6h7 g8f8 f6g7	Qxd7 Rh7 Bxh7+ Kf8 Bg7#	Bxh7+	d5 d6 d7 d8 d9 d10 d11 d12
r5rk/1pB4p/p3BRpP/2P5/3p4/8/P5PK/5R2 w - - 1 31	3	4718	c7e5 g8g7 f6f8 a8f8 h6g7	Be5 Rg7 Rf8+ Rxf8 hxg7#	hxg7#	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
rr5k/2n3Rp/8/p5N1/P7/1pQ2p2/5PKP/4R3 w - - 0 32	3	3211	g2f1 b8f8 g7h7 h8g8 c3g7	Kf1 Rf8 Rxh7+ Kg8 Qg7#	Rxh7+	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12
