# S230's separation pass: every candidate position swept over depths 3
# to 12 twice, once on the shipped build and once with
# R01_extra_reduction_gives_check of tools/mutants/S091_capture_see.py
# patched into the working tree and chesso_engine rebuilt. The depth
# columns are `search_fen()` of tests/test_search.cpp, not `go depth N`.
# Regenerate: adocs/data/S230_mine_r01_row.py depths, twice.
# separated_at is the rule DEC-209 clause 4 states: a depth the shipped
# build reports the mate at and the mutant does not.
fen	shipped_depths	r01_depths	separated_at
1K6/2r5/8/3k4/8/p2p1p1p/P2P1P1P/4BRBR b - - 0 1	none	none	none
1Q2R3/6k1/2pp1p1p/6p1/1p6/3K3P/1PP2q2/r7 b - - 7 49	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
1Q3b1k/5R1p/1p1q4/1P1Bp1p1/8/6P1/6KP/8 w - - 3 36	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
1Q6/8/P3R3/8/k7/6K1/r7/3q4 w - - 2 74	d11 d12	d11 d12	none
1Q6/pp3pk1/5b2/2P3p1/8/P5Pb/2p2P1P/5NK1 b - - 0 35	d4 d5 d6 d7 d8 d9 d10 d11 d12	d4 d5 d6 d7 d8 d9 d10 d11 d12	none
1R3r2/4Q3/6kp/6p1/4P3/2p2P1P/6PK/2q5 w - - 3 49	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
1R4k1/5pp1/8/3P4/4p2P/5pP1/4rP2/r3NK2 b - - 2 45	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
1R6/5R2/4p1pk/4Nb2/5P1p/r3K3/8/8 w - - 5 49	none	none	none
1R6/5k2/4p2p/1p2P3/1P3np1/3r1P2/1P3P1P/4K3 b - - 0 41	d9 d10 d11 d12	d9 d10 d11 d12	none
1R6/p5kp/6p1/3p1q2/N3p3/P3n1P1/1P5P/R5K1 b - - 2 31	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
1Rb2bkr/8/4NpPp/3p4/p7/6B1/6PK/8 w - - 4 44	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
1k1r3r/RPn1ppb1/Qn4pp/1Np1P3/2p5/5B2/1P3PPP/2B1K2R w K - 3 21	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
1k2brbr/p2pKpRp/P2P1P1P/8/8/8/8/8 w - - 0 1	d12	d12	none
1k2r3/pp4Q1/2b1P3/2p2P2/6P1/2N5/P6K/4qR2 b - - 0 34	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
1k2r3/pp6/2pP2p1/2Q5/4PPK1/P3B2r/4R3/3R3q b - - 6 36	d11 d12	d11 d12	none
1k6/8/2K5/6R1/1P6/8/8/5b2 w - - 1 72	none	none	none
1kn5/2Q5/1p4p1/1P6/4r1P1/1P3p1q/P4P2/3R2K1 b - - 0 51	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
1krbrb1Q/2p1p1p1/2P1P1P1/2K5/8/8/8/8 w - - 0 1	d8 d9 d10 d11 d12	d8 d9 d10 d11 d12	none
1krbrb1Q/2p1p1p1/K1P1P1P1/8/8/8/8/8 w - - 0 1	d7 d9 d12	d7 d9 d12	none
1krbrb2/2p1p1p1/K1P1P1P1/8/8/2Q5/8/8 w - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
1n3rk1/1QN4p/2p5/1pP1P3/8/P3q2P/8/1R5K b - - 1 38	d11 d12	d11 d12	none
1n4r1/q4pBk/r2R4/p3n3/1p1P2Q1/P7/P5PP/2R3K1 w - - 4 30	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
1q1k1r2/4p2p/p3p2b/6p1/3P4/4PB2/PPr5/R1B1K1R1 b - - 1 31	d11 d12	d11 d12	none
1qr5/7k/b2p2pB/3p2P1/2p1P3/2P5/5QPP/1r3RK1 w - - 0 38	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
1r1rN1k1/3R1p1p/5Qp1/2p1P3/P4P2/2p3nP/5qP1/5RK1 w - - 6 33	d9 d10 d11 d12	d9 d10 d11 d12	none
1r3k2/3Q4/p2N1p2/2pqp3/2P4P/1P4PK/8/1R6 w - - 0 52	d9 d10 d11 d12	d9 d10 d11 d12	none
1r3r1k/2p1n1pp/8/p2n1p2/2BPp3/Q1B1P2q/1P3P1P/2R1R1K1 b - - 1 22	d9 d10 d11 d12	d9 d10 d12	d11
1r5k/2p1n1pp/3Q1r2/p2n1p2/2BPp3/2B1P2q/1P3P1P/2R1R1K1 b - - 3 23	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
1r5k/2p1n1pp/3r4/p2n1p2/3Pp3/2B1P2q/1P2BP1P/2R1R1K1 b - - 1 24	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
1r5k/2p1n1pp/6r1/p2n1p2/3Pp1B1/2B1P2q/1P3P1P/2R1R1K1 b - - 3 25	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
1r5k/2p3pp/3pQ3/1P1P4/2q5/4K3/r4P1P/3R1R2 b - - 7 36	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
1r6/5pk1/p2pp1p1/Q2B2n1/8/2P1P1q1/1PR3Pr/R5K1 b - - 4 31	d11 d12	d11 d12	none
1r6/7K/4k3/8/8/p1p1p2p/P1P1P2P/RBRB4 b - - 0 1	d3 d4 d5 d11 d12	d3 d4 d5 d11 d12	none
1rr3k1/5p1Q/p7/q2ppbPp/3P4/P3RP2/2P4P/2K3NR b - - 0 25	d9 d10 d11 d12	d9 d10 d11 d12	none
2K5/7q/8/7k/8/p1p1p3/P1P1P3/RBRB4 b - - 0 1	none	none	none
2Q5/1p3k2/p3pp2/3p4/6r1/1N3NP1/PP2qnKP/2R5 w - - 1 35	d9 d10 d11 d12	d9 d10 d11 d12	none
2Q5/R3Np1k/5P2/6p1/N7/4n1r1/P3b3/7K b - - 0 34	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2R5/p4p1p/5pk1/5N2/4n3/4P1P1/r6P/5RK1 w - - 3 39	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2b3k1/1p5p/6pb/3Pp3/P3P2P/6N1/1P3q2/7K b - - 0 41	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2b3k1/r2R4/p3p1B1/1p2p3/1Pq2p1b/P1P4Q/5PPP/3R2K1 w - - 3 42	none	none	none
2b3nQ/5kP1/p1p1p3/2bpB3/4p1p1/1P6/2P2PP1/1K1R4 w - - 0 27	d11 d12	d11 d12	none
2brbr1k/1p1p1p2/1P1P1P2/8/5K2/8/8/Q7 w - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2brbr2/1p1p1p2/1P1P1P2/8/2Q5/5K1k/8/8 w - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2k1brbr/3p1p1p/3P1P1P/8/8/8/5QK1/8 w - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2k5/8/8/8/3q4/2p1p1p1/2P1P1P1/2RBRBK1 b - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2kr4/Qp1rR3/p5p1/P7/4P2p/3PB2P/1P4PK/3q4 w - - 7 42	d11 d12	d11 d12	none
2r1r1k1/6q1/1pbBp1R1/p2pP3/P1pP3Q/7P/5P2/1R4K1 w - - 1 48	none	none	none
2r2k2/1p3p1b/p2P1Q1p/6p1/3B1p2/P1N2R1P/6PK/2q5 w - - 3 37	d8 d9 d10 d11 d12	d8 d9 d10 d11 d12	none
2r2k2/5P2/8/5K1R/6P1/2qp3P/8/8 b - - 3 59	d11 d12	d11 d12	none
2r2k2/6RR/4P1p1/p4p2/3K1P2/P5r1/8/8 w - - 3 48	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
2r2q1r/pp1k1B2/3p1p1p/5P2/2Q3b1/P5Pp/1P5P/2R1R1K1 w - - 3 27	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2r2rk1/pp5p/3p2p1/3P2P1/5p2/P1b2P2/1qN1K2Q/3R3R b - - 1 28	d11 d12	d11 d12	none
2r3k1/1b1p1p2/3PpPp1/4P2p/P4B2/1P5P/4q1P1/6QK b - - 0 48	none	none	none
2r4k/1p5B/p3pQ1p/P2pb3/1P3q1P/5P2/4bP2/1N4K1 b - - 1 26	d9 d10 d11 d12	d9 d10 d11 d12	none
2r4k/3R1Q2/7p/p1p3p1/4P3/P3N1PP/1q3PK1/5b2 w - - 1 39	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
2r4r/kq3pb1/N3p1p1/QPp1Pn1p/2PPRP2/7P/5BP1/R5K1 w - - 1 31	d11 d12	d11 d12	none
2r5/1p3R2/p5pk/3PQ3/1P5K/P7/6q1/8 b - - 0 65	d11 d12	d11 d12	none
2rbrbk1/2p1p1p1/2P1P1P1/8/2Q5/8/8/2K5 w - - 0 1	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
2rqrk2/3nb3/p4nQ1/2p3N1/Ppb1RB2/8/1P1N1PPP/R5K1 w - - 9 27	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
3R4/1p3k2/pB6/6p1/2PK4/2R5/P5qP/4r3 b - - 9 45	d9 d10 d11 d12	d9 d10 d11 d12	none
3R4/8/7p/6k1/3PP1P1/2r5/4K3/r7 b - - 14 62	none	none	none
3RR1nk/6b1/6p1/p5Np/P4P2/7P/8/1r1K4 w - - 11 46	d12	d12	none
3k2K1/2r5/8/8/8/p1p1p2p/P1P1P2P/RBRB4 b - - 0 1	none	none	none
3k3r/6R1/3K4/3B4/3N4/pp6/8/8 w - - 0 62	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
3k4/8/K7/5q2/8/3p1p1p/3P1P1P/4BRBR b - - 0 1	d3 d4 d5	d3 d4 d5	none
3kbrbr/p2p1p1p/P2P1P1P/8/8/8/8/2KR4 w - - 0 1	d5 d6	d5 d6	none
3r1k2/4N1p1/6Q1/p1b5/5Pb1/6P1/3rR1KP/8 b - - 2 38	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
3r1r1k/1p4pn/pN1p3p/P2Pp2q/1pB1Pb2/3Q1P2/1PP2P2/RN1R1bK1 b - - 7 28	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	d3 d4 d5 d6 d7 d8 d9 d10 d11 d12	none
3r1rk1/1p4p1/p2p1pP1/3Rp2Q/8/6P1/PPq2PB1/1K5R w - - 0 25	d7 d8 d9 d10 d11 d12	d7 d8 d9 d10 d11 d12	none
3r2k1/1bp4p/1p4rQ/p2pNp2/3P4/PqP3R1/1P3PPP/4R1K1 w - - 1 32	d5 d6 d7 d8 d9 d10 d11 d12	d5 d6 d7 d8 d9 d10 d11 d12	none
