k	pairs	c_scale	r_k	y	wins	losses	draws	ptnml	ContHistBonus	ContHistMalus	ContHistWeight	ContHist2Bonus	ContHist2Malus	ContHist2Weight
0	24	2.054887	0.003993184	-5	13	18	17	2/7/10/4/1	17	18	26	17	18	26
1	48	1.915949	0.0045715199	7	21	14	13	2/3/9/6/4	17	18	26	17	18	26
2	72	1.839072	0.0049383343	-2	19	21	8	2/4/13/4/1	17	18	26	17	18	26
3	96	1.786405	0.0052093496	-5	14	19	15	4/6/7/5/2	17	18	26	17	18	27
4	120	1.746594	0.0054242592	1	15	14	19	1/5/11/6/1	17	18	26	17	18	27
5	144	1.714726	0.0056018519	15	23	8	17	0/5/4/10/5	17	18	26	17	18	27
6	168	1.688235	0.0057526333	-2	17	19	12	4/3/9/7/1	17	18	26	17	18	27
7	192	1.665620	0.0058831224	-6	12	18	18	4/7/5/7/1	18	18	25	18	18	27
8	216	1.645923	0.0059976662	-8	14	22	12	4/8/7/2/3	17	18	25	17	18	27
9	240	1.628501	0.0060993206	0	20	20	8	4/1/13/3/3	17	18	25	17	18	27
10	264	1.612899	0.0061903227	-1	18	19	11	5/3/8/4/4	17	18	25	17	18	27
11	288	1.598787	0.0062723636	-7	13	20	15	3/9/6/4/2	17	18	25	17	18	26
12	312	1.585914	0.0063467551	1	20	19	9	4/1/13/2/4	17	18	25	17	18	26
13	336	1.574088	0.0064145375	2	18	16	14	4/3/8/5/4	17	18	25	17	18	26
14	360	1.563157	0.0064765504	-4	13	17	18	2/5/12/5/0	17	18	24	17	18	27
15	384	1.553001	0.0065334824	0	18	18	12	3/3/12/3/3	17	18	24	17	18	27
16	408	1.543521	0.0065859055	4	19	15	14	2/4/9/6/3	17	18	25	17	17	27
17	432	1.534636	0.0066343006	0	16	16	16	1/8/7/6/2	17	18	25	17	17	27
18	456	1.526279	0.0066790762	-6	13	19	16	4/6/7/6/1	18	18	25	18	18	27
19	480	1.518392	0.0067205825	-3	18	21	9	5/3/10/2/4	18	18	25	18	17	26
20	504	1.510928	0.0067591218	4	18	14	16	2/5/7/7/3	18	18	25	17	17	26
21	528	1.503845	0.0067949574	2	19	17	12	3/3/9/7/2	18	18	25	18	17	26
22	552	1.497109	0.00682832	-2	15	17	16	5/2/8/8/1	18	18	25	18	17	26
23	576	1.490687	0.0068594127	2	17	15	16	1/5/12/3/3	18	18	25	18	17	26
24	600	1.484554	0.0068884155	2	18	16	14	1/5/11/5/2	18	18	25	18	17	26
25	624	1.478685	0.0069154889	-5	14	19	15	2/5/13/4/0	18	18	25	18	18	26
26	648	1.473059	0.0069407761	4	19	15	14	2/4/9/6/3	18	18	25	18	18	26
27	672	1.467658	0.0069644059	4	18	14	16	2/3/9/9/1	18	18	25	18	18	26
28	696	1.462466	0.0069864944	-4	13	17	18	3/5/10/5/1	18	18	24	18	18	26
29	720	1.457467	0.0070071466	-3	17	20	11	3/4/11/5/1	18	18	25	18	18	26
30	744	1.452648	0.0070264579	-17	10	27	11	7/6/9/1/1	18	18	24	18	17	26
31	768	1.447997	0.007044515	7	19	12	17	0/7/7/6/4	18	18	24	18	17	26
32	792	1.443504	0.0070613972	-5	16	21	11	7/4/4/5/4	18	18	24	18	17	26
33	816	1.439158	0.0070771771	-8	15	23	10	5/6/8/2/3	18	18	24	19	17	26
34	840	1.434951	0.0070919213	6	19	13	16	1/5/9/5/4	18	18	24	19	17	26
35	864	1.430874	0.0071056911	5	16	11	21	1/5/9/6/3	18	18	24	19	17	26
36	888	1.426920	0.0071185428	-1	17	18	13	4/3/10/4/3	18	18	24	19	17	26
37	912	1.423081	0.0071305289	4	16	12	20	2/6/5/8/3	18	18	24	19	17	26
38	936	1.419353	0.0071416974	-4	14	18	16	3/9/4/5/3	18	18	24	19	17	26
39	960	1.415728	0.0071520934	2	20	18	10	3/5/8/3/5	18	18	24	19	17	26
40	984	1.412202	0.0071617583	5	19	14	15	2/5/6/8/3	18	18	24	19	17	26
41	1008	1.408769	0.0071707311	1	18	17	13	3/3/10/6/2	18	18	24	19	17	26
42	1032	1.405425	0.0071790476	-12	10	22	16	3/7/13/1/0	18	18	24	19	17	25
43	1056	1.402165	0.0071867417	0	16	16	16	2/6/8/6/2	18	18	24	19	17	25
44	1080	1.398986	0.0071938449	-9	11	20	17	3/8/8/5/0	18	19	24	19	17	26
